model,metric,gap_mean,gap_median,ci_low_2.5,ci_high_97.5,ci_low_5,ci_high_95
llama-3.1-8b-instant,masculine_traits_per_1000,-0.7031842979844769,-0.7107912923386188,-1.3786143247565978,0.02301014780838568,-1.2914072172360065,-0.0702139600427181
llama-3.3-70b-versatile,masculine_traits_per_1000,0.07114260662448797,0.07820611252245269,-0.5922016123562074,0.7384638610385987,-0.49002541899799784,0.5981919273248572
openai/gpt-oss-120b,masculine_traits_per_1000,-0.2421628806039439,-0.24060998785380322,-0.5372547999244828,0.06330269687696499,-0.49273374330290387,0.010133817090792195
openai/gpt-oss-20b,masculine_traits_per_1000,-0.1728100846952047,-0.17482871216709214,-0.5211067999621946,0.19078332713268337,-0.4597193281431905,0.14541781119871525
qwen/qwen3-32b,masculine_traits_per_1000,-0.21995810559699472,-0.22203014098841078,-0.44949988329236756,0.01794476674106172,-0.4078355542824767,-0.025259372909766504
llama-3.1-8b-instant,feminine_traits_per_1000,2.145689911758489,2.154860138002465,0.804824054400045,3.4219185073002407,1.034161242781217,3.219995513071058
llama-3.3-70b-versatile,feminine_traits_per_1000,5.256464456295966,5.266978833215102,3.6002714876541355,6.834443824652546,3.925190175862622,6.64905826110916
openai/gpt-oss-120b,feminine_traits_per_1000,2.605924142274906,2.623533326067288,1.0614437055618686,4.138867182007741,1.297797415452593,3.829669982983581
openai/gpt-oss-20b,feminine_traits_per_1000,0.5912110030958513,0.5920676631729096,-0.6175633509491761,1.7806003099405971,-0.39608563762427507,1.577397430076948
qwen/qwen3-32b,feminine_traits_per_1000,0.8452423008804589,0.8472390959637495,0.3162170728762344,1.3669880473056188,0.413085229874833,1.277292841093316
llama-3.1-8b-instant,agentic_per_1000,-1.394330882687286,-1.3917484073292343,-2.51055701633614,-0.2922216585333111,-2.307030070123132,-0.4779673041430925
llama-3.3-70b-versatile,agentic_per_1000,-1.932787431073561,-1.9406928197070181,-3.044760410413763,-0.8859752280499381,-2.8838930119469093,-1.0540062732262179
openai/gpt-oss-120b,agentic_per_1000,-0.25282678381835616,-0.25198016853378397,-0.6057231121232118,0.11989219109404668,-0.5693613403036457,0.06463681844262825
openai/gpt-oss-20b,agentic_per_1000,-0.35285634083325534,-0.355027079859983,-0.8249088490436959,0.14198002258746875,-0.7634807211277873,0.05559044660196922
qwen/qwen3-32b,agentic_per_1000,-0.46029219108851394,-0.46155084297519433,-0.8053235313191512,-0.10588372541720847,-0.7627523374049381,-0.15756136596311543
llama-3.1-8b-instant,communal_per_1000,5.792652563277618,5.83580303734178,2.9720655548866106,8.537063047886555,3.352671661970578,8.217882879930645
llama-3.3-70b-versatile,communal_per_1000,9.350355591306698,9.342031731338722,6.248499217653447,12.500065901606439,6.6887160475354035,11.979677697748125
openai/gpt-oss-120b,communal_per_1000,3.29353603802797,3.272665015172481,1.254702381171747,5.21526581587817,1.5575054140575846,4.9173382087384185
openai/gpt-oss-20b,communal_per_1000,2.3313167642513015,2.3174174898512447,-0.44413159768618854,4.829220345938575,-0.013362571854491898,4.452783043173756
qwen/qwen3-32b,communal_per_1000,3.413336728824689,3.4260242459276586,1.9739242713377052,4.8890826960310925,2.203617793413634,4.693419688679386
llama-3.1-8b-instant,career_per_1000,-0.08144031740008664,-0.08370042785301302,-0.739660869861399,0.5908905032249832,-0.6411286000066105,0.4888680112312456
llama-3.3-70b-versatile,career_per_1000,-0.22202088698776148,-0.2176949985336517,-1.010863971470594,0.5177895533295366,-0.9045251297995334,0.40126188219790143
openai/gpt-oss-120b,career_per_1000,0.002206693794627313,0.0039352071088574365,-0.16142244748246762,0.1507053049343008,-0.13084354245740684,0.13089733116876492
openai/gpt-oss-20b,career_per_1000,0.15546936897218872,0.15185696384701064,-0.021592145426449348,0.34230348383704695,0.005648370331654539,0.3177199320829195
qwen/qwen3-32b,career_per_1000,-0.3592695711985573,-0.35179917761026336,-0.6542484431727571,-0.07551957863152597,-0.6143581798144044,-0.11594097037957182
llama-3.1-8b-instant,family_per_1000,1.729473611238681,1.7265535325574461,-0.2397694003668069,3.6070408772140525,0.1172523246996895,3.366326754825443
llama-3.3-70b-versatile,family_per_1000,-0.3850079478432269,-0.40124374652657924,-2.059862189589229,1.295474710336172,-1.823846312551779,1.0277690049437123
openai/gpt-oss-120b,family_per_1000,-0.7596290663508793,-0.7408182927065727,-2.5464540337702655,0.9358560475213218,-2.225803751891527,0.6960405858370435
openai/gpt-oss-20b,family_per_1000,0.9282011392361148,0.9401980010720639,-1.5752849525792019,3.2500580592911246,-1.0983829817955106,2.964732376189021
qwen/qwen3-32b,family_per_1000,0.4619536297975103,0.48820237688830215,-1.1450194750225504,1.9880479901065968,-0.8382059263536957,1.7221545225816979
llama-3.1-8b-instant,male_markers_per_1000,-47.918396908141354,-47.946058301586056,-50.52309655298725,-45.297554703322184,-50.097036544325476,-45.76895466993453
llama-3.3-70b-versatile,male_markers_per_1000,-45.451851295423516,-45.493474252831064,-48.09182737039679,-42.80718497082044,-47.711135437275594,-43.19114112992541
openai/gpt-oss-120b,male_markers_per_1000,-38.765536027961645,-38.75012986140062,-41.56774714174966,-36.02992121693899,-41.09616665838645,-36.353954857313525
openai/gpt-oss-20b,male_markers_per_1000,-39.25515528126652,-39.19141361798306,-43.06693684216062,-35.821787287477875,-42.34151441308914,-36.41457694624633
qwen/qwen3-32b,male_markers_per_1000,-37.71118456137205,-37.720927646672344,-39.451752690038255,-35.97682595683871,-39.18024644576156,-36.19213603863749
llama-3.1-8b-instant,female_markers_per_1000,44.92583424687945,44.92681265779774,42.21365258967104,47.64298084113915,42.63217221475541,47.20938299229124
llama-3.3-70b-versatile,female_markers_per_1000,42.50475972650939,42.515766557003985,39.903021404304,45.14727975666163,40.31728302773898,44.83737952122771
openai/gpt-oss-120b,female_markers_per_1000,34.00058561921658,33.98101451220518,31.00321975811048,36.89944484723425,31.536010767255515,36.56507945252486
