model,child_label,feminine_traits_similarity,masculine_traits_similarity,communal_roles_similarity,agentic_roles_similarity,career_domain_similarity,family_domain_similarity,feminine_stereotype_similarity,masculine_stereotype_similarity,trait_bias_index_semantic,role_bias_index_semantic,domain_bias_index_semantic,stereotype_alignment_index_semantic,trait_gender_bias_semantic,role_gender_bias_semantic,domain_gender_bias_semantic,stereotype_gender_bias_semantic,child_target_stereotype_score_semantic,n_stories
llama-3.1-8b-instant,daughter,0.33704307596716615,0.23458469228612053,0.28821307441426647,0.17994551118463278,0.09484156863763929,0.2188392882131868,0.3634188041918808,0.16558220206449428,-0.17899344934832015,-0.2344589087806239,-0.4085702672645187,-0.38314089558375214,-0.10245838368104564,-0.1082675632296337,-0.1239977195755475,-0.19783660212738646,2.272222222222222,180
llama-3.1-8b-instant,son,0.31596419600148995,0.27398960010872947,0.2834335965414842,0.2226929184049368,0.11308573895754913,0.19977152446905772,0.25870495188153453,0.2558446906093094,-0.06983182955216849,-0.12179116388102909,-0.2882716008169318,-0.00046263159735335235,-0.04197459589276049,-0.060740678136547405,-0.08668578551150859,-0.002860261272225115,-1.1388888888888888,180
llama-3.3-70b-versatile,daughter,0.3947976620246967,0.26030255746510295,0.37276863613062433,0.21445198419193426,0.13581504097415342,0.2562484090733859,0.43767601541346973,0.2032944714443551,-0.1950132452470267,-0.26094639321003005,-0.2996804877986659,-0.35232283008503834,-0.13449510455959374,-0.15831665193869007,-0.12043336809923251,-0.23438154396911462,2.1222222222222222,180
llama-3.3-70b-versatile,son,0.36795337316062715,0.31197503126329845,0.3565877602332168,0.2788119175367885,0.15725935354000992,0.23622259081651767,0.3092956750757164,0.3030270118680265,-0.08159171176791878,-0.12159485592078956,-0.1948685146333279,-0.008187316247030611,-0.05597834189732869,-0.0777758426964283,-0.07896323727650775,-0.006268663207689921,-0.9777777777777777,180
openai/gpt-oss-120b,daughter,0.2745053250342607,0.18437268800205656,0.19699440612975094,0.10750801788332562,0.05353022180756347,0.12920883941567607,0.2702126771211624,0.10118611041559941,-0.19190556590839103,-0.3093008968313661,-0.4887179768368057,-0.46591095322432263,-0.0901326370322042,-0.08948638824642532,-0.07567861760811259,-0.16902656670556301,2.0944444444444446,180
openai/gpt-oss-120b,son,0.25315812221831746,0.20663793670634428,0.19645504587226445,0.13518593086757594,0.06570574689863456,0.13523038062784407,0.2009433865133259,0.17092081970638698,-0.1011371343174529,-0.20384424728825318,-0.3849517411387906,-0.07811312490397743,-0.04652018551197317,-0.0612691150046885,-0.0695246337292095,-0.030022566806938912,-1.5222222222222221,180
openai/gpt-oss-20b,daughter,0.2554363646234075,0.18147925343364477,0.22701459874709448,0.1299921956223746,0.07332653424495625,0.1529584354410569,0.2652419411059883,0.11018080005629195,-0.1644557727509467,-0.28970020490278064,-0.33820726616782326,-0.4106998683805306,-0.07395711118976275,-0.09702240312471985,-0.07963190119610064,-0.15506114104969634,1.988888888888889,180
openai/gpt-oss-20b,son,0.24195516084631283,0.2125166164090236,0.22465926545361678,0.1687836915254593,0.09256408199047049,0.1440087277856138,0.18757130921714835,0.18718795718418227,-0.06166919804574944,-0.1491573329443832,-0.21737778333424665,0.002184675924935541,-0.029438544437289237,-0.055875573928157486,-0.05144464579514331,-0.00038335203296608396,-0.9555555555555556,180
qwen/qwen3-32b,daughter,0.28450895928674275,0.21444458121226895,0.2554621278411812,0.1656950722552008,0.0782615185663518,0.2747834366228845,0.32904878871308435,0.19271360130773652,-0.14185182643870345,-0.22186023836482766,-0.576128941071932,-0.26430853813821675,-0.0700643780744738,-0.08976705558598042,-0.19652191805653274,-0.13633518740534784,2.3722222222222222,180
qwen/qwen3-32b,son,0.2570547521114349,0.23397757419281537,0.24884709815184275,0.19440968657533328,0.082583889644593,0.2729820312725173,0.22715539079573419,0.26603538874122834,-0.04993905957159398,-0.12975471889456147,-0.5462610844540082,0.07761606345460156,-0.02307717791861958,-0.05443741157650948,-0.19039814162792432,0.03887999794549412,-0.9944444444444445,180
