model,metric,gap_mean,gap_median,ci_low_2.5,ci_high_97.5,ci_low_5,ci_high_95
llama-3.1-8b-instant,feminine_traits_similarity,0.021074575498369004,0.021062873862683795,0.008262804139198495,0.034241541586816276,0.010417113540073249,0.03223272090363834
llama-3.3-70b-versatile,feminine_traits_similarity,0.025838897183744443,0.025940141847564102,0.009580645036573207,0.04200782792642714,0.011362848176310506,0.03881898072444733
openai/gpt-oss-120b,feminine_traits_similarity,0.020674991610397896,0.02083157760401569,0.007880305665441716,0.033605293085177755,0.0096624028662013,0.03177945329290299
openai/gpt-oss-20b,feminine_traits_similarity,0.01341578351441357,0.01372480321054656,-0.00027793965561110896,0.026191368247899742,0.0018637762787855595,0.024002215262088514
qwen/qwen3-32b,feminine_traits_similarity,0.0272229939562579,0.02726669431560569,0.017926053404808004,0.037326843668189336,0.019326034254497963,0.03527084242552517
llama-3.1-8b-instant,masculine_traits_similarity,-0.03913647615806096,-0.03912356971866554,-0.050157823438445714,-0.028363486167250408,-0.04818751669385369,-0.03003998705496393
llama-3.3-70b-versatile,masculine_traits_similarity,-0.051717973710017066,-0.0518170806682772,-0.06373905443689888,-0.039509647871471154,-0.06183039168102873,-0.04125662172834083
openai/gpt-oss-120b,masculine_traits_similarity,-0.0223831170923594,-0.022210594711618292,-0.0320992139995926,-0.013075606154484866,-0.030491051033346185,-0.014318113362209667
openai/gpt-oss-20b,masculine_traits_similarity,-0.03111333443491409,-0.031015151718424422,-0.041215088552174484,-0.02089539339662427,-0.039738849943710686,-0.022815904416557814
qwen/qwen3-32b,masculine_traits_similarity,-0.019674808773977887,-0.019915674916572035,-0.028890319235829843,-0.010314830838599147,-0.02739481259758273,-0.011748729598604953
llama-3.1-8b-instant,communal_roles_similarity,0.004678466730068127,0.004736822160581772,-0.009548692188950042,0.018007576555634543,-0.006838320094264208,0.01619137925613258
llama-3.3-70b-versatile,communal_roles_similarity,0.015226241137170127,0.015034361804525082,-0.0023012318296565136,0.032489969422005945,0.0005122146589888521,0.02993044610652658
openai/gpt-oss-120b,communal_roles_similarity,0.00021309832980235388,0.00016589703866176642,-0.011367730711483285,0.011474462531817454,-0.009229522947635923,0.009675880552579967
openai/gpt-oss-20b,communal_roles_similarity,0.002266721384185883,0.0021510743846495928,-0.008198327925056237,0.013926760744717388,-0.00646110199184883,0.011513816614945712
qwen/qwen3-32b,communal_roles_similarity,0.006156173612342942,0.006209558082951455,-0.0041962055613597084,0.01700543042479288,-0.0022592107206583,0.015039496425953187
llama-3.1-8b-instant,agentic_roles_similarity,-0.04243979449528787,-0.04233304291135735,-0.05428850002845544,-0.03131564673657221,-0.05276257693767547,-0.03312288407546779
llama-3.3-70b-versatile,agentic_roles_similarity,-0.06415438684005705,-0.0641075568894545,-0.07773471090839142,-0.05093703235499561,-0.07551151698869135,-0.05268389951023789
openai/gpt-oss-120b,agentic_roles_similarity,-0.02754657530751493,-0.02755790641272647,-0.038841709423577425,-0.016688599463345284,-0.036516256833500765,-0.018763682471277826
openai/gpt-oss-20b,agentic_roles_similarity,-0.03876307411924418,-0.03875810471880767,-0.05002182672731579,-0.02809848232117169,-0.04819296693739792,-0.029559409576985593
