model,child_label,agentic_per_1000,communal_per_1000,career_per_1000,family_per_1000,masculine_traits_per_1000,feminine_traits_per_1000,male_markers_per_1000,female_markers_per_1000,trait_bias_index,role_bias_index,domain_bias_index,direct_gender_marker_index,n_stories
llama-3.1-8b-instant,daughter,3.190978218108624,24.343818104961294,1.1478144829975148,12.5995827190934,2.031092070175727,7.143082844412058,1.4717341319128603,47.27156706957833,-0.46592592586810444,-0.6971614496306326,-0.7559964725917977,-0.9438828146933651,180
llama-3.1-8b-instant,son,4.622656881599401,18.495034667903106,1.242912445765443,10.818900626096674,2.743999297327285,4.984449862045791,49.44901269840584,2.333860101887296,-0.13444444443716383,-0.46139329804143275,-0.6652248676603815,0.9187909067844741,180
llama-3.3-70b-versatile,daughter,2.3402331450097664,33.05797548051548,1.0754400931057904,9.503737987418647,1.4914777016640492,11.249734811574172,2.0411610456195244,43.58997366647819,-0.6321957671401971,-0.7805687830464302,-0.6354629628957785,-0.9022118005221971,180
llama-3.3-70b-versatile,son,4.279717130406345,23.56797180815379,1.3200109896446521,9.914348659129178,1.411920894113032,5.954086547960912,47.56191395464138,1.1546309759354767,-0.3888888888466178,-0.572698412677966,-0.6164550263986114,0.9566181657621091,180
openai/gpt-oss-120b,daughter,0.49760714886553475,19.425438356246197,0.11135812962588638,13.659728396621336,0.27693889008753414,12.336900414566172,2.0800129468326207,40.95570712901774,-0.8275925925178444,-0.8558201057736868,-0.851481481412086,-0.8430900399321213,180
openai/gpt-oss-120b,son,0.7415449638907562,16.047441779931454,0.10963913194001922,14.349900402649267,0.5145016341226237,9.68352923314603,40.824810253638034,6.902596532168901,-0.7740740739861446,-0.8102513226945716,-0.8779629628959742,0.6730938215594099,180
openai/gpt-oss-20b,daughter,0.7263207070359715,16.89602511511967,0.21876957148853393,14.95010449838903,0.45228148953040365,5.550056764106829,2.8315371899329143,47.91716625043331,-0.5644444443675385,-0.7829629629104307,-0.8280423279793108,-0.7903083018858738,180
openai/gpt-oss-20b,son,1.0795072125338199,14.50472006082695,0.06240238732708612,14.016795073425447,0.6310633218707576,4.9485850093331,42.060773152116845,5.804876522473818,-0.46111111104734415,-0.6525793650342145,-0.8083333332683874,0.6631863796921478,180
qwen/qwen3-32b,daughter,1.2659396435807895,14.879529798605441,0.810413663694596,15.614643937504106,0.5906164830653875,3.957635375681476,3.3721496241205773,45.16658242012204,-0.7061111109133312,-0.8222822193525682,-0.8945196315335303,-0.8598152973670165,180
qwen/qwen3-32b,son,1.7237535987993422,11.419498975335111,1.1703598900062469,15.15854844462521,0.8118685039722363,3.106470171352956,41.12344463013525,4.2315225817779,-0.45018518507485406,-0.6610095459473481,-0.845779223001611,0.8226816171610818,180
