model,metric,daughter_minus_son
llama-3.1-8b-instant,agentic_per_1000,-1.4316786634907768
llama-3.1-8b-instant,communal_per_1000,5.848783437058188
llama-3.1-8b-instant,career_per_1000,-0.09509796276792826
llama-3.1-8b-instant,family_per_1000,1.7806820929967255
llama-3.1-8b-instant,masculine_traits_per_1000,-0.712907227151558
llama-3.1-8b-instant,feminine_traits_per_1000,2.1586329823662673
llama-3.1-8b-instant,male_markers_per_1000,-47.97727856649298
llama-3.1-8b-instant,female_markers_per_1000,44.937706967691035
llama-3.1-8b-instant,trait_bias_index,-0.3314814814309406
llama-3.1-8b-instant,role_bias_index,-0.2357681515891999
llama-3.1-8b-instant,domain_bias_index,-0.09077160493141623
llama-3.1-8b-instant,direct_gender_marker_index,-1.8626737214778393
llama-3.3-70b-versatile,agentic_per_1000,-1.9394839853965786
llama-3.3-70b-versatile,communal_per_1000,9.490003672361691
llama-3.3-70b-versatile,career_per_1000,-0.24457089653886177
llama-3.3-70b-versatile,family_per_1000,-0.4106106717105309
llama-3.3-70b-versatile,masculine_traits_per_1000,0.07955680755101735
llama-3.3-70b-versatile,feminine_traits_per_1000,5.295648263613259
llama-3.3-70b-versatile,male_markers_per_1000,-45.52075290902186
llama-3.3-70b-versatile,female_markers_per_1000,42.43534269054271
llama-3.3-70b-versatile,trait_bias_index,-0.24330687829357928
llama-3.3-70b-versatile,role_bias_index,-0.20787037036846423
llama-3.3-70b-versatile,domain_bias_index,-0.019007936497167144
llama-3.3-70b-versatile,direct_gender_marker_index,-1.8588299662843062
openai/gpt-oss-120b,agentic_per_1000,-0.24393781502522144
openai/gpt-oss-120b,communal_per_1000,3.377996576314743
openai/gpt-oss-120b,career_per_1000,0.0017189976858671685
openai/gpt-oss-120b,family_per_1000,-0.6901720060279306
openai/gpt-oss-120b,masculine_traits_per_1000,-0.2375627440350896
openai/gpt-oss-120b,feminine_traits_per_1000,2.653371181420141
openai/gpt-oss-120b,male_markers_per_1000,-38.74479730680542
openai/gpt-oss-120b,female_markers_per_1000,34.05311059684884
openai/gpt-oss-120b,trait_bias_index,-0.053518518531699866
openai/gpt-oss-120b,role_bias_index,-0.04556878307911527
openai/gpt-oss-120b,domain_bias_index,0.02648148148388818
openai/gpt-oss-120b,direct_gender_marker_index,-1.5161838614915313
openai/gpt-oss-20b,agentic_per_1000,-0.35318650549784836
openai/gpt-oss-20b,communal_per_1000,2.3913050542927206
openai/gpt-oss-20b,career_per_1000,0.15636718416144782
openai/gpt-oss-20b,family_per_1000,0.933309424963582
openai/gpt-oss-20b,masculine_traits_per_1000,-0.178781832340354
openai/gpt-oss-20b,feminine_traits_per_1000,0.6014717547737289
openai/gpt-oss-20b,male_markers_per_1000,-39.22923596218393
openai/gpt-oss-20b,female_markers_per_1000,42.11228972795949
openai/gpt-oss-20b,trait_bias_index,-0.10333333332019434
openai/gpt-oss-20b,role_bias_index,-0.13038359787621612
openai/gpt-oss-20b,domain_bias_index,-0.019708994710923355
openai/gpt-oss-20b,direct_gender_marker_index,-1.4534946815780216
qwen/qwen3-32b,agentic_per_1000,-0.4578139552185527
qwen/qwen3-32b,communal_per_1000,3.46003082327033
qwen/qwen3-32b,career_per_1000,-0.35994622631165085
qwen/qwen3-32b,family_per_1000,0.4560954928788963
qwen/qwen3-32b,masculine_traits_per_1000,-0.2212520209068488
qwen/qwen3-32b,feminine_traits_per_1000,0.8511652043285198
qwen/qwen3-32b,male_markers_per_1000,-37.75129500601468
qwen/qwen3-32b,female_markers_per_1000,40.93505983834414
qwen/qwen3-32b,trait_bias_index,-0.2559259258384772
qwen/qwen3-32b,role_bias_index,-0.1612726734052201
qwen/qwen3-32b,domain_bias_index,-0.0487404085319193
qwen/qwen3-32b,direct_gender_marker_index,-1.6824969145280981
