model,metric,gap_mean,ci_low_2.5,ci_high_97.5
llama-3.1-8b-instant,trait_bias_index,-0.33750444439328964,-0.49214351844456294,-0.1852361110851895
llama-3.3-70b-versatile,trait_bias_index,-0.24440867723557577,-0.3649503968011653,-0.1280998677266063
openai/gpt-oss-120b,trait_bias_index,-0.057490370382777545,-0.1391481481479048,0.0217824073861806
openai/gpt-oss-20b,trait_bias_index,-0.10219037035746222,-0.20365277775151985,0.007046296296228292
qwen/qwen3-32b,trait_bias_index,-0.25553111102395193,-0.36622685173671865,-0.14700462957443222
llama-3.1-8b-instant,role_bias_index,-0.2385128544785469,-0.3639812247716482,-0.12426688819983317
llama-3.3-70b-versatile,role_bias_index,-0.2108764550242771,-0.32614539240467705,-0.11434160053407473
openai/gpt-oss-120b,role_bias_index,-0.04864865080404434,-0.11486937831463297,0.020952380938944817
openai/gpt-oss-20b,role_bias_index,-0.12802375660693913,-0.2324560184976475,-0.03365277777987219
qwen/qwen3-32b,role_bias_index,-0.16154283306409067,-0.22950867103431727,-0.09525042087594415
llama-3.1-8b-instant,domain_bias_index,-0.09606309523060275,-0.19356790121105882,-0.011102513227910454
llama-3.3-70b-versatile,domain_bias_index,-0.021405158719033153,-0.12787003966132965,0.08633366401943915
openai/gpt-oss-120b,domain_bias_index,0.023860370372648865,-0.045749999984088394,0.0865787037022541
openai/gpt-oss-20b,domain_bias_index,-0.020421693123851968,-0.09254298941613881,0.0585681216807549
qwen/qwen3-32b,domain_bias_index,-0.04858401357685475,-0.08889059480892697,-0.01105113895178716
llama-3.1-8b-instant,direct_gender_marker_index,-1.8621538321225404,-1.8942537607866783,-1.8220177094180223
llama-3.3-70b-versatile,direct_gender_marker_index,-1.8588730626940186,-1.9109138153043987,-1.805791130892985
openai/gpt-oss-120b,direct_gender_marker_index,-1.5156728554858727,-1.5803470337390444,-1.4455048728612405
openai/gpt-oss-20b,direct_gender_marker_index,-1.4541217794818813,-1.5196384026204122,-1.376464219303878
qwen/qwen3-32b,direct_gender_marker_index,-1.6824377036507927,-1.7210984182983102,-1.640622073421764
