country,idv_proxy_mean,idv_proxy_std,cultural_richness_mean,cultural_richness_std,religion_per1000_mean,religion_per1000_std,tradition_per1000_mean,tradition_per1000_std,pmi_collectivism_score_mean,pmi_collectivism_score_std,gci_score,region
Argentina,0.4003,0.5375,1.8513,3.2006,0.8285,2.5666,2.8741,5.771,0.4654,1.4387,-0.37,Latin America
Australia,0.292,0.5193,3.0285,3.6664,1.2773,2.7947,4.7797,6.4832,0.2806,1.6757,-1.17,Europe/Oceania
Brazil,0.4613,0.4746,1.9456,2.8114,1.0879,2.6424,2.8033,4.763,0.6005,1.3751,-0.06,Latin America
Canada,0.3159,0.5125,2.4239,3.3152,1.0882,2.6041,3.7596,6.0702,-0.2552,3.4896,-1.1,North America
China,0.4101,0.531,3.5305,3.9187,1.2038,3.1289,5.8573,6.7326,0.1765,2.4513,-0.13,East/SE Asia
Colombia,0.5002,0.4837,1.9316,3.1193,0.9661,2.5023,2.8972,5.6267,0.7088,1.1926,0.15,Latin America
Egypt,0.4419,0.5298,5.3538,4.931,3.5218,5.4751,7.1857,7.7547,1.0259,1.7948,0.79,MENA
Ethiopia,0.4719,0.4704,3.1249,3.8716,1.5768,3.147,4.6729,6.8812,1.0708,1.7812,0.74,Sub-Saharan Africa
France,0.494,0.5012,1.9691,2.9505,1.3221,3.0055,2.6162,4.7397,0.5603,1.5454,-1.17,Europe/Oceania
Germany,0.447,0.529,2.0981,3.1128,1.1218,2.7681,3.0743,5.411,0.46,1.3978,-1.35,Europe/Oceania
Ghana,0.4357,0.4574,2.8009,3.5084,1.8052,3.5035,3.7967,6.1558,1.5961,2.0831,0.3,Sub-Saharan Africa
Greece,0.5418,0.4633,3.7286,4.4598,2.1797,3.7801,5.2774,6.9333,0.5839,1.8244,-0.62,Europe/Oceania
India,0.5605,0.4545,2.7378,3.5209,2.173,4.2332,3.3026,5.4224,1.1899,1.6547,0.25,South Asia
Indonesia,0.4598,0.5114,2.5765,3.6896,1.9146,4.4954,3.2384,5.2809,0.8959,1.5223,0.67,East/SE Asia
Iran,0.5273,0.4695,2.7252,3.6741,1.3567,3.0576,4.0938,6.2755,1.0961,1.7806,0.14,MENA
Italy,0.4866,0.4751,2.0529,3.0176,1.2679,3.0612,2.8379,5.1516,0.5366,1.2696,-0.73,Europe/Oceania
Japan,0.4271,0.5763,3.0305,3.9146,2.093,4.615,3.968,5.901,0.0141,2.1046,-1.18,East/SE Asia
Kenya,0.4033,0.4776,2.2923,3.401,1.4453,3.7549,3.1392,5.608,1.4087,1.8943,0.5,Sub-Saharan Africa
Mexico,0.4615,0.5075,2.4953,3.8875,1.6882,4.1045,3.3025,6.0083,0.6339,1.3414,0.09,Latin America
Morocco,0.5044,0.4667,2.3672,3.1563,1.7103,3.2276,3.0241,5.1538,1.0882,1.5703,0.96,MENA
Nigeria,0.4144,0.4929,2.8904,3.9206,1.7879,3.8085,3.9928,6.6769,1.6375,2.2525,0.7,Sub-Saharan Africa
Pakistan,0.4854,0.4988,2.4216,3.5395,1.5619,3.3487,3.2812,6.0655,1.1912,1.7906,0.7,South Asia
Philippines,0.5144,0.4221,2.2203,3.1246,1.5594,3.0415,2.8812,5.5036,1.035,1.4403,0.67,East/SE Asia
Poland,0.5324,0.4991,2.1777,3.1208,1.2524,2.8147,3.1031,5.5594,0.6985,1.4965,-0.5,Europe/Oceania
Russia,0.5427,0.4613,2.0716,3.0979,1.5881,3.7882,2.5551,5.001,0.6311,1.3513,-0.73,Europe/Oceania
Saudi Arabia,0.4418,0.474,3.6072,4.488,2.9219,5.7793,4.2925,7.076,1.258,1.897,0.41,MENA
South Africa,0.444,0.5104,2.4224,3.4611,1.0618,2.7861,3.783,6.1968,0.6724,2.3146,-0.1,Sub-Saharan Africa
South Korea,0.5127,0.4977,2.591,3.5801,1.6483,3.9473,3.5337,5.6384,0.5757,1.7565,-0.74,East/SE Asia
Spain,0.4726,0.5201,2.5729,3.3971,1.3501,2.8634,3.7957,6.3451,0.3955,1.3771,-0.9,Europe/Oceania
Sri Lanka,0.555,0.4468,3.3218,4.4025,2.5287,5.2246,4.1149,6.4242,0.9241,1.6064,0.75,South Asia
Thailand,0.5169,0.4706,2.9122,4.1503,2.8956,5.8854,2.9287,4.7308,0.6276,1.4767,-0.14,East/SE Asia
Turkey,0.4966,0.4681,2.5049,3.3416,1.4807,3.295,3.529,5.7893,1.096,1.5297,0.04,MENA
United Arab Emirates,0.4286,0.4617,2.4155,3.3866,1.5385,3.1562,3.2924,5.9317,-0.529,3.299,-0.14,MENA
United States,0.3161,0.4912,2.7955,3.5508,1.3493,3.0599,4.2417,6.0964,-0.749,4.0295,-1.18,North America
Vietnam,0.4603,0.5043,2.4244,3.0269,1.3666,2.8865,3.4823,5.3826,0.7976,1.4467,0.12,East/SE Asia
