model_key,country,narrator_role,recipient_gender_condition,axis,n_unique_words,n_matched_tokens,H_raw,effective_vocab_size,H_normalized,simpson_concentration,gini_simpson_diversity,lexicon_coverage
anthropic-haiku45,Argentina,Aunt,female,direct_marker,3.0,8.0,0.9743147528693494,2.649351128562104,0.8868595071429147,0.40625,0.59375,0.08571428571428572
anthropic-haiku45,Argentina,Aunt,female,domain,2.0,2.0,0.6931471805599453,2.0,1.0,0.5,0.5,0.06060606060606061
anthropic-haiku45,Argentina,Aunt,female,role,14.0,23.0,2.4872576985931496,12.028245776250497,0.9424796008337419,0.09640831758034028,0.9035916824196597,0.02280130293159609
anthropic-haiku45,Argentina,Aunt,female,trait,1.0,1.0,-0.0,1.0,,1.0,0.0,0.06666666666666667
anthropic-haiku45,Argentina,Aunt,male,direct_marker,3.0,12.0,1.077556327066801,2.9374925023243565,0.9808340377961402,0.3472222222222222,0.6527777777777778,0.08571428571428572
anthropic-haiku45,Argentina,Aunt,male,role,16.0,20.0,2.6923109941417858,14.765760106200775,0.9710459299447973,0.07500000000000001,0.925,0.026058631921824105
anthropic-haiku45,Argentina,Aunt,male,trait,1.0,1.0,-0.0,1.0,,1.0,0.0,0.06666666666666667
anthropic-haiku45,Argentina,Cousin,female,direct_marker,5.0,19.0,1.337145350072824,3.8081570190484015,0.8308151185841874,0.30193905817174505,0.698060941828255,0.14285714285714285
anthropic-haiku45,Argentina,Cousin,female,domain,2.0,4.0,0.5623351446188083,1.7547653506033232,0.8112781244591328,0.625,0.375,0.06060606060606061
anthropic-haiku45,Argentina,Cousin,female,role,11.0,14.0,2.3419942522324244,10.401960023958633,0.9766874637103274,0.10204081632653061,0.8979591836734694,0.017915309446254073
anthropic-haiku45,Argentina,Cousin,male,direct_marker,5.0,14.0,1.2153881010836147,3.371602332953886,0.7551630862513187,0.3877551020408163,0.6122448979591837,0.14285714285714285
anthropic-haiku45,Argentina,Cousin,male,role,12.0,17.0,2.3947004058583334,10.964912543382482,0.963698336942612,0.10034602076124567,0.8996539792387543,0.019543973941368076
anthropic-haiku45,Argentina,Cousin,male,trait,1.0,1.0,-0.0,1.0,,1.0,0.0,0.06666666666666667
anthropic-haiku45,Argentina,Family Doctor,female,direct_marker,4.0,15.0,1.1710598699903711,3.2254093421462495,0.8447411335095913,0.3511111111111111,0.6488888888888888,0.11428571428571428
anthropic-haiku45,Argentina,Family Doctor,female,domain,2.0,2.0,0.6931471805599453,2.0,1.0,0.5,0.5,0.06060606060606061
anthropic-haiku45,Argentina,Family Doctor,female,role,15.0,18.0,2.6302533563892636,13.877285355690288,0.9712720079261152,0.08024691358024691,0.9197530864197531,0.024429967426710098
anthropic-haiku45,Argentina,Family Doctor,female,trait,1.0,1.0,-0.0,1.0,,1.0,0.0,0.06666666666666667
anthropic-haiku45,Argentina,Family Doctor,male,direct_marker,2.0,13.0,0.4293230219306162,1.5362171861003946,0.6193821946787638,0.7396449704142012,0.2603550295857988,0.05714285714285714
anthropic-haiku45,Argentina,Family Doctor,male,role,20.0,27.0,2.8976680950647613,18.131814365283294,0.9672653730258443,0.06172839506172839,0.9382716049382716,0.03257328990228013
anthropic-haiku45,Argentina,Family Doctor,male,trait,1.0,1.0,-0.0,1.0,,1.0,0.0,0.06666666666666667
anthropic-haiku45,Argentina,Father,female,direct_marker,2.0,7.0,0.410116318288409,1.5069930657725377,0.5916727785823274,0.7551020408163265,0.24489795918367352,0.05714285714285714
anthropic-haiku45,Argentina,Father,female,domain,2.0,2.0,0.6931471805599453,2.0,1.0,0.5,0.5,0.06060606060606061
anthropic-haiku45,Argentina,Father,female,role,13.0,20.0,2.38888971472958,10.901383575693508,0.9313594078495965,0.11000000000000001,0.89,0.021172638436482084
