id,model_key,model_family,model_params,protagonist_gender,country,region,person,word_count,pca_x,pca_y,tsne_x,tsne_y,tsne3_x,tsne3_y,tsne3_z
ollama-llama31-8b_Father_UnitedStates_female,ollama-llama31-8b,llama,8B,female,United States,North America,Father,150,0.3025114,-2.8629942,-5.413021,23.967522,-6.592676,19.3097,-3.8543358
ollama-llama32-3b_Father_UnitedStates_female,ollama-llama32-3b,llama,3B,female,United States,North America,Father,173,-0.27380627,-1.1976161,1.2970113,2.5158281,-18.442184,3.8755138,11.33487
ollama-llama3-70b_Father_UnitedStates_female,ollama-llama3-70b,llama,70B,female,United States,North America,Father,189,-0.38530597,-1.4602907,13.554136,28.727291,-0.2705457,-16.789387,-19.327147
ollama-mistral-nemo_Father_UnitedStates_female,ollama-mistral-nemo,mistral,12B,female,United States,North America,Father,188,0.21899545,1.3252952,3.5581837,-13.502754,9.507785,-10.937218,0.44257683
ollama-mistral-7b_Father_UnitedStates_female,ollama-mistral-7b,mistral,7B,female,United States,North America,Father,196,0.41221595,0.039190277,15.25626,-3.6290917,-16.724768,-11.50406,2.6621182
ollama-qwen25-7b_Father_UnitedStates_female,ollama-qwen25-7b,qwen,7B,female,United States,North America,Father,172,2.7946448,0.5360992,-7.7729588,-15.704232,4.8801994,-0.35730603,31.28729
ollama-qwen25-3b_Father_UnitedStates_female,ollama-qwen25-3b,qwen,3B,female,United States,North America,Father,200,1.2081819,0.49546394,-6.9722576,-7.3628387,3.4015496,3.0860305,18.465078
ollama-gemma2-2b_Father_UnitedStates_female,ollama-gemma2-2b,gemma,2B,female,United States,North America,Father,203,-0.5957905,0.5075026,24.577858,-6.1609526,15.27023,-23.32079,-13.995429
ollama-gemma3-12b_Father_UnitedStates_female,ollama-gemma3-12b,gemma,12B,female,United States,North America,Father,195,-1.7328746,2.2337534,51.00165,12.068106,-12.219832,0.82340163,-36.591694
ollama-gemma3-27b_Father_UnitedStates_female,ollama-gemma3-27b,gemma,27B,female,United States,North America,Father,177,-3.0022333,0.21187823,39.523712,6.5724998,-20.422222,13.762862,-26.182623
ollama-gptoss-20b_Father_UnitedStates_female,ollama-gptoss-20b,gpt-oss,20B,female,United States,North America,Father,150,-0.51179427,0.11669226,-20.069723,-4.740425,-1.816851,-29.439928,23.291426
ollama-llama31-8b_Father_UnitedStates_male,ollama-llama31-8b,llama,8B,male,United States,North America,Father,163,1.1191068,-0.20842454,-27.364182,16.399649,9.668311,24.945366,-9.719541
ollama-llama32-3b_Father_UnitedStates_male,ollama-llama32-3b,llama,3B,male,United States,North America,Father,177,-0.2549215,0.06370816,19.17774,2.3444998,4.4086742,-17.707901,-10.56005
ollama-llama3-70b_Father_UnitedStates_male,ollama-llama3-70b,llama,70B,male,United States,North America,Father,175,0.96371204,-0.12923315,-15.0645485,21.990976,12.475855,0.0013283887,-23.645031
ollama-mistral-nemo_Father_UnitedStates_male,ollama-mistral-nemo,mistral,12B,male,United States,North America,Father,207,-0.88158846,3.441585,12.345752,-23.18694,17.962105,-19.478724,4.8259587
ollama-mistral-7b_Father_UnitedStates_male,ollama-mistral-7b,mistral,7B,male,United States,North America,Father,172,1.2737273,1.3011532,-18.115562,-4.9843283,-20.26907,-26.283556,5.11164
ollama-qwen25-7b_Father_UnitedStates_male,ollama-qwen25-7b,qwen,7B,male,United States,North America,Father,155,1.8655944,-0.05138889,-16.29606,-2.451138,14.884772,6.673967,7.1509647
ollama-qwen25-3b_Father_UnitedStates_male,ollama-qwen25-3b,qwen,3B,male,United States,North America,Father,168,1.5558255,1.7446985,1.3522971,-29.250816,6.874359,-16.330187,19.893518
ollama-gemma2-2b_Father_UnitedStates_male,ollama-gemma2-2b,gemma,2B,male,United States,North America,Father,153,-1.2749405,-1.1075196,-43.41074,10.061565,37.226906,10.168845,-6.316519
ollama-gemma3-12b_Father_UnitedStates_male,ollama-gemma3-12b,gemma,12B,male,United States,North America,Father,196,-1.3989568,2.333258,29.428194,19.640139,4.0281916,18.389162,-26.292206
ollama-gemma3-27b_Father_UnitedStates_male,ollama-gemma3-27b,gemma,27B,male,United States,North America,Father,175,-2.0054755,0.8414607,39.037533,14.48438,-2.4918306,12.695167,-27.085318
ollama-gptoss-20b_Father_UnitedStates_male,ollama-gptoss-20b,gpt-oss,20B,male,United States,North America,Father,167,0.51851004,3.3454542,-21.35453,-35.638832,29.406855,-14.359664,11.378171
ollama-llama31-8b_Father_Canada_female,ollama-llama31-8b,llama,8B,female,Canada,North America,Father,175,0.9411322,-1.318351,-11.529857,24.041143,4.7540236,16.69247,-3.7103143
ollama-llama32-3b_Father_Canada_female,ollama-llama32-3b,llama,3B,female,Canada,North America,Father,198,0.025863754,-2.8826127,-9.052284,26.948921,0.48758277,18.54019,-3.5862873
ollama-llama3-70b_Father_Canada_female,ollama-llama3-70b,llama,70B,female,Canada,North America,Father,203,0.89901,-3.087407,-7.277611,22.16173,-9.191796,18.713327,-2.3098419
