id,model_key,model_family,model_params,protagonist_gender,country,person,word_count,tokens
ollama-llama32-1b_Father_Egypt_male,ollama-llama32-1b,llama,1B,male,Egypt,Father,205,"['apologize', 'short', 'version', 'early', 'rewrite', 'bedtime', 'story', 'request', 'word', 'count', '\n\n', 'ancient', 'egypt', 'live', 'young', 'pharaoh', 'name', 'amun', 'know', 'wisdom', 'kindness', 'love', 'know', 'grow', 'old', 'amun', 'increasingly', 'restless', 'feel', 'confine', 'strict', 'rule', 'kingdom', 'day', 'hunt', 'stumble', 'wound', 'gazelle', 'hesitation', 'amun', 'set', 'aside', 'hunting', 'party', 'care', 'injure', 'animal', '\n\n', 'spend', 'time', 'amun', 'learn', 'beauty', 'compassion', 'understanding', 'realize', 'true', 'power', 'lie', 'rule', 'iron', 'fist', 'listen', 'show', 'empathy', 'gazelle', 'recovery', 'inspire', 'amun', 'change', 'position', 'promote', 'kindness', 'fairness', 'kingdom', '\n\n', 'moral', 'story', 'true', 'strength', 'come', 'selflessness', 'compassion', 'put', 'need', 'desire', 'amun', 'beloved', 'leader', 'love', 'people', 'generation', 'come', '\n\n', 'child', 'gain', 'amun', 'transformation', 'show', 'value', 'prioritize', 'truly', 'matter', 'life']"
ollama-llama32-1b_Father_Germany_male,ollama-llama32-1b,llama,1B,male,Germany,Father,200,"['apologize', 'short', 'version', 'early', 'rewrite', 'bedtime', 'story', 'request', 'word', 'count', '\n\n', 'sun', 'set', 'roll', 'hill', 'ancestral', 'homeland', 'germany', 'cast', 'warm', 'orange', 'glow', 'small', 'village', 'grow', 'han', 'kind', 'curious', 'boy', 'grow', 'family', 'value', 'tradition', 'respect', 'day', 'help', 'harvest', 'witness', 'stranger', 'struggle', 'carry', 'heavy', 'basket', 'fruit', '\n\n', 'take', 'pity', 'offer', 'help', 'work', 'tirelessly', 'finish', 'task', 'say', 'goodbye', 'thank', 'word', 'echo', 'mind', 'dankt', 'dir', 'han', 'thank', 'han', 'simple', 'act', 'big', 'difference', 'stranger', 'life', '\n\n', 'look', 'day', 'realize', 'kindness', 'change', 'life', 'moral', 'story', 'small', 'act', 'kindness', 'profound', 'impact', 'show', 'compassion', 'help', 'need', 'open', 'door', 'new', 'friendship', 'experience', '\n\n', 'han', 'smile', 'drift', 'sleep', 'heart', 'warmth', 'contentment']"
ollama-llama32-1b_Father_Greece_male,ollama-llama32-1b,llama,1B,male,Greece,Father,190,"['apologize', 'previous', 'response', 'short', 'rewrite', 'version', 'bedtime', 'story', 'specified', 'word', 'count', '\n\n', 'ancient', 'greece', 'live', 'young', 'boy', 'name', 'theodoro', 'bear', 'wealthy', 'family', 'tie', 'god', 'inherit', 'wisdom', 'kindness', 'theodoro', 'parent', 'value', 'curiosity', 'encourage', 'explore', 'world', '\n\n', 'day', 'wander', 'olive', 'grove', 'theodoro', 'stumble', 'wound', 'bird', 'despite', 'parent', 'wish', 'refuse', 'leave', 'bird', 'nurse', 'health', 'bird', 'heal', 'theodoro', 'heart', 'fill', 'compassion', 'empathy', '\n\n', 'moral', 'story', 'kindness', 'compassion', 'heal', 'broken', 'heart', 'show', 'understanding', 'patience', 'create', 'ripple', 'effect', 'love', 'kindness', 'spread', 'far', 'family', 'theodoro', 'selfless', 'act', 'earn', 'respect', 'admiration', 'teach', 'true', 'greatness', 'come', '\n\n', 'drift', 'sleep', 'remember', 'theodoro', 'story', 'guide', 'compassionate', 'gentle', 'soul']"
ollama-llama32-1b_Mother_Canada_male,ollama-llama32-1b,llama,1B,male,Canada,Mother,202,"['apologize', 'previous', 'response', 'brevity', 'rewrite', 'bedtime', 'story', 'english', '150', '200', 'word', 'limit', '\n\n', 'moonlit', 'weaver', 'story', 'selflessness', '\n\n', 'family', 'rich', 'cultural', 'heritage', 'canada', 'like', 'share', 'tale', 'grandfather', 'kanaq', 'kind', 'skilled', 'weaver', 'spend', 'life', 'create', 'beautiful', 'tapestry', 'community', 'festival', 'night', 'severe', 'storm', 'threaten', 'destroy', 'festival', 'ground', '\n\n', 'hesitation', 'grandfather', 'kanaq', 'rush', 'outside', 'eye', 'fix', 'wind', 'blow', 'tree', 'sway', 'dark', 'quickly', 'gather', 'family', 'loom', 'begin', 'weave', 'work', 'storm', 'rag', 'grandfather', 'kanaq', 'flinch', 'focus', 'create', 'beautiful', 'community', '\n\n', 'festival', 'townspeople', 'amazed', 'stunning', 'tapestry', 'moral', 'story', 'true', 'strength', 'lie', 'grandeur', 'material', 'wealth', 'selflessness', 'kindness', 'put', 'need', 'grandfather', 'kanaq', 'prove', 'truly', 'hero', 'family', 'community', '\n\n', 'sleep', 'tonight', 'remember', 'grandfather', 'kanaq', 'example', 'like', 'moonlight', 'shin', 'bright', 'kindness', 'compassion']"
ollama-llama32-1b_Mother_Mexico_female,ollama-llama32-1b,llama,1B,female,Mexico,Mother,179,"['apologize', 'previous', 'response', 'short', 'rewrite', 'version', 'bedtime', 'story', '150', '200', 'word', 'limit', '\n\n', 'luna', 'kind', 'curious', 'young', 'girl', 'rich', 'mexican', 'culture', 'love', 'help', 'mother', 'small', 'bakery', 'learn', 'secret', 'traditional', 'pastry', 'sweet', 'day', 'work', 'late', 'luna', 'accidentally', 'knock', 'bag', 'flour', 'cover', 'entire', 'kitchen', 'white', 'powder', 'panic', 'know', 'clean', 'mess', '\n\n', 'mother', 'rush', 'laugh', 'remind', 'luna', 'la', 'vida', 'es', 'un', 'poco', 'loca', 'life', 'little', 'crazy', 'luna', 'worried', 'get', 'trouble', 'mother', 'suggest', 'work', 'clean', 'combine', 'strength', 'sweep', 'away', 'flour', '\n\n', 'luna', 'learn', 'important', 'lesson', 'night', 'mistake', 'happen', 'forgiveness', 'teamwork', 'help', 'overcome', 'mother', 'guidance', 'luna', 'confident', 'ability', 'soon', 'master', 'new', 'recipe', 'spread', 'joy', 'customer', 'delicious', 'pastry', 'create']"
ollama-llama32-1b_Mother_Greece_male,ollama-llama32-1b,llama,1B,male,Greece,Mother,175,"['apologize', 'mistake', 'previous', 'response', 'rewrite', 'bedtime', 'story', '\n\n', 'small', 'village', 'thessaloniki', 'greece', 'live', 'young', 'man', 'name', 'theodoro', 'know', 'exceptional', 'culinary', 'skill', 'particularly', 'prepare', 'traditional', 'greek', 'dish', 'like', 'moussaka', 'souvlaki', 'evening', 'help', 'mother', 'kitchen', 'tell', 'grandmother', 'delicious', 'spanakopita', 'greece', '\n\n', 'intrigue', 'theodoro', 'ask', 'mother', 'family', 'recipe', 'special', 'smile', 'say', 'follow', 'recipe', 'theodoro', 'share', 'love', 'tradition', 'care', 'work', 'prepare', 'spanakopita', 'word', 'stick', 'mind', 'realize', 'true', 'secret', 'great', 'dish', 'ingredient', 'love', 'effort', 'make', '\n\n', 'lesson', 'theodoro', 'learn', 'night', 'family', 'recipe', 'food', 'share', 'heritage', 'people', 'love']"
ollama-llama32-1b_Grandmother_Kenya_female,ollama-llama32-1b,llama,1B,female,Kenya,Grandmother,187,"['happy', 'rewrite', 'story', 'correct', 'large', 'language', 'model', 'prior', 'knowledge', 'family', 'cultural', 'background', 'child', 'provide', 'information', 'create', 'personalize', 'story', '\n\n', 'assume', 'like', 'know', 'character', 'story', 'start', 'introduce', 'kibera', 'young', 'kenyan', 'girl', 'live', 'bustling', 'slum', '\n\n', 'kibera', 'bright', 'ambitious', '12', 'year', 'old', 'dream', 'doctor', 'day', 'grow', 'poverty', 'navigate', 'harsh', 'reality', 'day', 'determination', 'waver', 'despite', 'face', 'challenge', 'kibera', 'curiosity', 'love', 'learn', 'drive', 'excel', 'school', 'student', 'class', 'eventually', 'enrol', 'medical', 'school', 'hard', 'work', 'perseverance', 'kibera', 'finally', 'achieve', 'dream', 'renowned', 'doctor', 'inspire', 'countless', 'young', 'girl', 'community', 'pursue', 'dream', '\n\n', 'story', 'teach', 'dedication', 'resilience', 'passion', 'overcome', 'obstacle', 'achieve', 'goal']"
ollama-llama32-1b_Grandmother_SouthKorea_female,ollama-llama32-1b,llama,1B,female,South Korea,Grandmother,187,"['apologize', 'previous', 'incomplete', 'response', 'rewrite', 'bedtime', 'story', 'english', 'specified', 'word', 'count', '\n\n', 'traditional', 'korean', 'family', 'like', 'respect', 'elder', 'deeply', 'rooted', 'ancestor', 'yumi', 'know', 'wisdom', 'kindness', 'day', 'yumi', 'young', 'mother', 'difficult', 'decision', 'newborn', 'son', 'min', 'soo', 'bear', 'severe', 'disability', 'unable', 'walk', 'talk', '\n\n', 'despite', 'challenge', 'yumi', 'love', 'son', 'remain', 'unwavering', 'spend', 'countless', 'hour', 'teach', 'guide', 'time', 'feel', 'like', 'invisible', 'day', 'walk', 'forest', 'stumble', 'elderly', 'woman', 'face', 'similar', 'situation', 'elderly', 'woman', 'share', 'old', 'physical', 'strength', 'wan', 'find', 'joy', 'help', 'yumi', 'min', 'soo', '\n\n', 'yumi', 'realize', 'achieve', 'perfection', 'embrace', 'imperfection', 'understand', 'true', 'beauty', 'lie', 'flawless', 'show', 'compassion', 'kindness', 'live', 'being']"
ollama-llama32-1b_Grandmother_Greece_female,ollama-llama32-1b,llama,1B,female,Greece,Grandmother,201,"['happy', 'rewrite', 'story', 'new', 'version', '150', '200', 'word', 'limit', '\n\n', 'story', 'sophia', 'golden', 'apple', '\n\n', 'ancient', 'greece', 'live', 'young', 'girl', 'name', 'sophia', 'know', 'village', 'kindness', 'intelligence', 'day', 'wander', 'forest', 'sophia', 'stumble', 'beautiful', 'golden', 'apple', 'lie', 'ground', 'villager', 'believe', 'apple', 'magical', 'power', 'eat', 'powerful', 'person', 'greece', '\n\n', 'sophia', 'curiosity', 'get', 'well', 'decide', 'bite', 'soon', 'juice', 'touch', 'tongue', 'feel', 'incredible', 'surge', 'energy', 'wisdom', 'surprise', 'sophia', 'find', 'lose', 'control', 'newfound', 'power', 'selfish', 'reason', '\n\n', 'villager', 'realize', 'late', 'golden', 'apple', 'curse', 'find', 'way', 'share', 'power', 'wisely', 'moral', 'story', 'great', 'power', 'come', 'great', 'responsibility', 'use', 'gift', 'great', 'good', 'personal', 'gain', '\n\n', 'sophia', 'learn', 'valuable', 'lesson', 'moderation', 'selflessness', 'know', 'wise', 'girl', 'greece']"
ollama-llama32-1b_Grandmother_Greece_male,ollama-llama32-1b,llama,1B,male,Greece,Grandmother,177,"['apologize', 'previous', 'response', 'brevity', 'rewrite', 'bedtime', 'story', '150', '200', 'word', 'limit', '\n\n', 'greece', 'ancestor', 'roam', 'free', 'live', 'young', 'boy', 'name', 'theodoro', 'kind', 'wise', 'love', 'family', 'deeply', 'sunny', 'afternoon', 'help', 'father', 'vineyard', 'theodoro', 'find', 'small', 'injure', 'bird', 'perch', 'leaf', 'hesitation', 'carefully', 'take', 'home', 'nurse', 'health', 'day', 'pass', 'bird', 'flourish', 'theodoro', 'care', '\n\n', 'bond', 'grow', 'strong', 'theodoro', 'realize', 'show', 'compassion', 'kindness', 'inanimate', 'object', 'learn', 'invaluable', 'lesson', 'action', 'ripple', 'effect', 'understand', 'selfless', 'act', 'heal', 'bird', 'bring', 'joy', '\n\n', 'theodoro', 'father', 'smile', 'theodoro', 'selflessness', 'say', 'true', 'hero', 'wear', 'crown', 'tend', 'heart', 'theodoro', 'continue', 'spread', 'kindness', 'warmth', 'community']"
