id,model_key,model_family,model_params,protagonist_gender,country,person,word_count,tokens
ollama-mistral-7b_Father_UnitedStates_female,ollama-mistral-7b,mistral,7B,female,United States,Father,196,"['title', 'kind', 'hearte', 'navajo', 'weaver', '\n\n', 'time', 'heart', 'new', 'mexico', 'live', 'young', 'navajo', 'girl', 'name', 'atsé', 'know', 'far', 'wide', 'exquisite', 'weaving', 'truly', 'set', 'apart', 'generous', 'spirit', '\n\n', 'day', 'poor', 'family', 'visit', 'village', 'see', 'worn', 'clothing', 'atsé', 'offer', 'beautiful', 'rug', 'family', 'refuse', 'atsé', 'undeterred', 'weave', 'new', 'give', 'warm', 'smile', '\n\n', 'word', 'atsé', 'kindness', 'spread', 'draw', 'wealthy', 'trader', 'doorstep', 'impress', 'tale', 'offer', 'atsé', 'rich', 'dream', 'exchange', 'weaving', 'atsé', 'decline', 'explain', 'weave', 'wealth', 'love', 'connection', '\n\n', 'trader', 'move', 'humility', 'gift', 'atsé', 'magical', 'loom', 'weave', 'beautiful', 'rug', 'tool', 'atsé', 'continue', 'share', 'gift', 'forget', 'joy', 'give', '\n\n', 'dear', 'child', 'remember', 'story', 'atsé', 'kind', 'hearte', 'navajo', 'weaver', 'let', 'teach', 'true', 'wealth', 'lie', 'material', 'possession', 'love', 'kindness', 'share']"
ollama-mistral-7b_Father_UnitedStates_male,ollama-mistral-7b,mistral,7B,male,United States,Father,172,"['time', 'beloved', 'navajo', 'nation', 'live', 'brave', 'young', 'man', 'name', 'nahatsoh', 'know', 'wisdom', 'kindness', 'importantly', 'incredible', 'skill', 'weaving', '\n\n', 'day', 'great', 'drought', 'strike', 'land', 'council', 'elder', 'call', 'people', 'create', 'blanket', 'rain', 'god', 'fine', 'appease', 'spirit', 'nahatsoh', 'humbly', 'accept', 'challenge', '\n\n', 'day', 'wove', 'bit', 'wisdom', 'patience', 'learn', 'grandfather', 'finish', 'gift', 'council', 'blanket', 'breathtaking', 'vibrant', 'color', 'intricate', 'pattern', 'testament', 'passion', 'skill', '\n\n', 'rain', 'god', 'move', 'nahatsoh', 'offering', 'rain', 'return', 'land', 'fill', 'river', 'green', 'field', 'renew', 'life', '\n\n', 'nahatsoh', 'story', 'teach', 'hard', 'work', 'patience', 'generous', 'heart', 'bring', 'great', 'change', 'remember', 'son', 'respect', 'wisdom', 'elder', 'honor', 'heritage', 'shall', 'weave', 'miracle', 'goodnight', 'brave']"
ollama-mistral-7b_Father_Canada_female,ollama-mistral-7b,mistral,7B,female,Canada,Father,188,"['title', 'brave', 'little', 'fiddler', '\n\n', 'time', 'rich', 'canadian', 'culture', 'live', 'young', 'girl', 'name', 'maya', 'know', 'far', 'wide', 'enchanting', 'fiddle', 'playing', 'day', 'great', 'storm', 'threaten', 'destroy', 'village', 'fear', 'maya', 'idea', '\n\n', 'maya', 'take', 'beloved', 'fiddle', 'step', 'shore', 'play', 'melody', 'calm', 'wind', 'still', 'rain', 'storm', 'subside', 'spar', 'home', 'save', 'village', '\n\n', 'villager', 'marvel', 'maya', 'bravery', 'ingenuity', 'maya', 'humbly', 'say', 'love', 'home', 'guide', 'hand', '\n\n', 'day', 'forward', 'maya', 'fiddle', 'entertain', 'protect', 'bring', 'peace', 'beloved', 'village', 'story', 'brave', 'little', 'fiddler', 'serve', 'reminder', 'find', 'strength', 'embrace', 'passion', 'use', 'good', '\n\n', 'drift', 'sleep', 'tonight', 'remember', 'maya', 'courage', 'let', 'inspire', 'face', 'storm', 'life', 'bring', 'love', 'determination', 'goodnight', 'dear', 'child']"
ollama-mistral-7b_Father_Canada_male,ollama-mistral-7b,mistral,7B,male,Canada,Father,208,"['heart', 'ancestral', 'land', 'canada', 'live', 'young', 'anishinaabe', 'boy', 'name', 'kai', 'bless', 'wisdom', 'year', 'kai', 'unique', 'gift', 'communicate', 'spirit', 'nature', '\n\n', 'day', 'kai', 'find', 'wound', 'eagle', 'forest', 'floor', 'gentle', 'hand', 'nurse', 'health', 'grateful', 'eagle', 'tell', 'kai', 'great', 'spirit', 'test', 'tribe', 'face', 'great', 'drought', '\n\n', 'kai', 'know', 'solution', 'perform', 'ancient', 'rain', 'dance', 'appease', 'spirit', 'bring', 'need', 'rain', 'elder', 'dismiss', 'kai', 'claim', 'say', 'power', 'unbowed', 'kai', 'perform', 'dance', 'secrecy', '\n\n', 'day', 'later', 'tribe', 'gather', 'despair', 'thunderous', 'downpour', 'fill', 'air', 'eagle', 'soar', 'confirm', 'kai', 'gift', 'real', 'tribe', 'realize', 'age', 'position', 'matter', 'help', 'community', 'listen', 'heart', 'trust', 'gift', '\n\n', 'kai', 'humbly', 'take', 'place', 'elder', 'gift', 'great', 'good', 'story', 'serve', 'reminder', 'underestimate', 'worth', 'trust', 'use', 'unique', 'ability', 'positive', 'impact', 'goodnight', 'son']"
ollama-mistral-7b_Father_Mexico_female,ollama-mistral-7b,mistral,7B,female,Mexico,Father,207,"['time', 'vibrant', 'land', 'mexico', 'live', 'humble', 'girl', 'name', 'mariana', 'belong', 'family', 'trace', 'root', 'generation', 'weave', 'tale', 'courage', 'wisdom', 'day', 'precious', 'artifact', 'ancestor', 'steal', 'mariana', 'kind', 'heart', 'feel', 'responsible', 'return', '\n\n', 'embark', 'perilous', 'journey', 'rugged', 'mountain', 'dense', 'forest', 'guide', 'whisper', 'story', 'ancestor', 'way', 'encounter', 'mysterious', 'old', 'woman', 'teach', 'true', 'treasure', 'artifact', 'lesson', 'hold', '\n\n', 'mariana', 'learn', 'brave', 'resourceful', 'compassionate', 'quality', 'define', 'people', 'return', 'home', 'artifact', 'mariana', 'feel', 'profound', 'sense', 'accomplishment', 'realize', 'valuable', 'strength', 'resilience', '\n\n', 'challenge', 'arise', 'mariana', 'embrace', 'boldly', 'remember', 'wisdom', 'gain', 'journey', 'grow', 'woman', 'embody', 'rich', 'culture', 'spirit', 'pass', 'story', 'inspire', 'generation', 'come', '\n\n', 'moral', 'embrace', 'challenge', 'trust', 'strength', 'hold', 'valuable', 'lesson', 'shape', 'person', 'mean']"
ollama-mistral-7b_Father_Mexico_male,ollama-mistral-7b,mistral,7B,male,Mexico,Father,194,"['time', 'vibrant', 'land', 'ancestor', 'live', 'humble', 'young', 'man', 'name', 'alejandro', 'reside', 'small', 'sun', 'kiss', 'village', 'nestle', 'hill', 'mexico', 'know', 'kindness', 'curiosity', 'alejandro', 'belove', '\n\n', 'day', 'discover', 'ancient', 'mysterious', 'artifact', 'hide', 'deep', 'forest', 'promise', 'great', 'power', 'warn', 'use', 'bring', 'chaos', 'land', 'tear', 'greed', 'duty', 'alejandro', 'seek', 'guidance', 'don', 'pedrito', 'village', 'elder', '\n\n', 'don', 'pedrito', 'share', 'tale', 'ancestor', 'wield', 'power', 'artifact', 'bring', 'prosperity', 'eventually', 'lead', 'corruption', 'cause', 'downfall', 'alejandro', 'don', 'pedrito', 'say', 'power', 'inherently', 'evil', 'change', 'let', 'choose', 'wisely', '\n\n', 'inspire', 'ancestor', 'lesson', 'alejandro', 'decide', 'artifact', 'hide', 'dedicate', 'serve', 'village', 'love', 'humility', 'villager', 'thrive', 'leadership', 'peace', 'continue', 'generation', '\n\n', 'moral', 'lesson', 'power', 'change', 'choice', 'truly', 'define', 'embrace', 'responsibility', 'use', 'power', 'good', 'let', 'corrupt', 'heart']"
ollama-mistral-7b_Father_Brazil_female,ollama-mistral-7b,mistral,7B,female,Brazil,Father,198,"['time', 'bustling', 'town', 'brazil', 'live', 'young', 'woman', 'name', 'maria', 'know', 'kindness', 'skillful', 'weaving', 'hammock', 'tradition', 'pass', 'generation', '\n\n', 'day', 'wealthy', 'merchant', 'arrive', 'offer', 'buy', 'maria', 'hammock', 'low', 'price', 'tempt', 'offer', 'maria', 'hesitate', 'heart', 'yearn', 'tradition', 'alive', 'mind', 'long', 'wealth', '\n\n', 'night', 'dream', 'grandmother', 'guide', 'enchanted', 'forest', 'encounter', 'struggle', 'family', 'need', 'hammock', 'money', 'maria', 'give', 'return', 'show', 'true', 'value', 'work', '\n\n', 'awakening', 'maria', 'decide', 'sell', 'hammock', 'fair', 'price', 'ensure', 'afford', 'community', 'thrive', 'maria', 'kindness', 'remember', 'true', 'wealth', 'lie', 'possession', 'heart', 'touch', '\n\n', 'tale', 'remind', 'dear', 'material', 'wealth', 'important', 'outweigh', 'value', 'compassion', 'community', 'remember', 'dear', 'share', 'blessing', 'let', 'kindness', 'true', 'treasure', 'goodnight']"
ollama-mistral-7b_Father_Brazil_male,ollama-mistral-7b,mistral,7B,male,Brazil,Father,187,"['time', 'heart', 'brazil', 'live', 'young', 'boy', 'name', 'joão', 'belong', 'tribe', 'know', 'vibrant', 'culture', 'wisdom', 'day', 'wander', 'rainforest', 'find', 'injure', 'jaguar', 'instead', 'fear', 'joão', 'show', 'kindness', 'tend', 'wound', '\n\n', 'jaguar', 'grateful', 'help', 'gifted', 'joão', 'magical', 'stone', 'speak', 'ancient', 'tribal', 'secret', 'stone', 'warn', 'use', 'power', 'wisely', 'lose', '\n\n', 'day', 'joão', 'face', 'tough', 'decision', 'village', 'danger', 'invade', 'tribe', 'villager', 'urge', 'use', 'stone', 'protection', 'joão', 'remember', 'wise', 'word', 'jaguar', 'choose', 'peace', 'instead', 'negotiate', 'invader', 'form', 'friendship', 'unite', 'tribe', 'create', 'harmony', 'instead', 'strife', '\n\n', 'tale', 'dear', 'son', 'remember', 'true', 'power', 'lie', 'possession', 'wisdom', 'compassion', 'choose', 'peace', 'unity', 'conflict', 'trait', 'bring', 'last', 'happiness', 'honor', 'family', 'goodnight', 'son', 'sleep', 'dream', 'big']"
ollama-mistral-7b_Father_Argentina_female,ollama-mistral-7b,mistral,7B,female,Argentina,Father,198,"['time', 'cherished', 'argentine', 'land', 'live', 'young', 'woman', 'name', 'luisa', 'belong', 'ancient', 'culture', 'gift', 'enchanting', 'voice', 'resonate', 'far', 'hometown', 'san', 'juan', '\n\n', 'day', 'troupe', 'travel', 'musician', 'arrive', 'seek', 'new', 'talent', 'troupe', 'captivate', 'luisa', 'melodious', 'voice', 'invite', 'join', 'journey', '\n\n', 'excited', 'hesitant', 'luisa', 'ponder', 'decision', 'abuelo', 'sense', 'worry', 'share', 'story', 'ancestor', 'beautiful', 'feather', 'fall', 'hand', 'humble', 'bird', 'tempt', 'wear', 'bask', 'glory', 'remember', 'creature', 'purpose', 'return', 'feather', 'know', 'wing', 'mean', 'flight', '\n\n', 'inspire', 'abuelo', 'tale', 'luisa', 'realize', 'purpose', 'embark', 'journey', 'musician', 'sing', 'share', 'rich', 'culture', 'go', '\n\n', 'dear', 'child', 'remember', 'unique', 'gift', 'seek', 'grandeur', 'embrace', 'purpose', 'share', 'world', 'like', 'luisa', 'let', 'wing', 'carry', 'height', 'honor', 'root', 'inspire']"
ollama-mistral-7b_Father_Argentina_male,ollama-mistral-7b,mistral,7B,male,Argentina,Father,171,"['time', 'heart', 'argentina', 'live', 'young', 'man', 'name', 'juanito', 'belong', 'revere', 'gaucho', 'culture', 'know', 'courage', 'respect', 'nature', '\n\n', 'day', 'juanito', 'find', 'wound', 'fox', 'river', 'instead', 'kill', 'take', 'home', 'nurse', 'health', 'day', 'turn', 'week', 'bond', 'man', 'fox', 'grow', 'strong', 'fox', 'recover', 'juanito', 'name', 'zorro', '\n\n', 'night', 'zorro', 'save', 'juanito', 'life', 'alert', 'approach', 'danger', 'day', 'forward', 'friendship', 'legendary', 'juanito', 'village', 'story', 'serve', 'reminder', 'kindness', 'strength', 'far', 'great', 'weapon', 'teach', 'compassion', 'bridge', 'gap', 'man', 'beast', 'foster', 'understanding', 'unity', '\n\n', 'dear', 'son', 'let', 'kindness', 'guide', 'heart', 'power', 'protect', 'heal', 'create', 'bond', 'measure', 'goodnight', 'dream', 'fill', 'wisdom', 'zorro', 'juanito']"
