region,model_family,gap,cohens_d,n_daughter,n_son
North America,llama,2.079025573034084,1.8411373221953804,96,94
North America,mistral,1.6390845012452753,1.6343613784872397,48,48
North America,qwen,2.395776098762787,2.692307273821168,48,48
North America,gemma,3.176294061706493,2.595262044948075,72,72
North America,gpt-oss,3.31080863559259,3.6716267838982675,22,20
Latin America,llama,2.1889022883375087,1.9891546379048957,192,191
Latin America,mistral,2.3374742894171403,2.2697435040244462,96,96
Latin America,qwen,2.7185795640009185,2.8433305695854294,96,96
Latin America,gemma,2.6352608747713067,2.560191756245519,144,144
Latin America,gpt-oss,3.7495342053527803,3.979374631807855,41,41
Europe/Oceania,llama,2.1247561071103696,1.8226931259103862,381,384
Europe/Oceania,mistral,2.1499384195731404,2.0382168405890764,192,192
Europe/Oceania,qwen,2.5587609401892766,2.692259213266066,192,192
Europe/Oceania,gemma,2.7136676662728965,2.5217316303953456,288,288
Europe/Oceania,gpt-oss,3.7412960342974038,4.7199574786512315,82,82
MENA,llama,2.0410842833114202,1.839223692033284,288,286
MENA,mistral,2.3141409727675395,2.3399347258459424,144,144
MENA,qwen,2.5740067107247064,2.7148830211871706,144,144
MENA,gemma,2.855415291566623,2.526109938970315,216,216
MENA,gpt-oss,3.6847559352359833,4.554151673894904,60,61
Sub-Saharan Africa,llama,2.1295061481568434,1.9411672918177927,238,237
Sub-Saharan Africa,mistral,1.9466284872837332,1.784771075823042,120,120
Sub-Saharan Africa,qwen,2.6960787586419226,3.0456569480817355,120,120
Sub-Saharan Africa,gemma,2.4411462542287,2.1064463284766086,180,180
Sub-Saharan Africa,gpt-oss,3.8133183308578262,5.137296247221747,48,49
South Asia,llama,2.1867946181457913,1.9001661406805155,143,144
South Asia,mistral,1.9119164288453492,1.590900071672909,72,72
South Asia,qwen,2.8577024031424956,3.1468802085405256,72,72
South Asia,gemma,3.139866639301985,2.882845685036396,108,108
South Asia,gpt-oss,4.103220773710546,4.678495059573983,33,33
East/SE Asia,llama,2.1963622315482048,1.9496828593459816,330,332
East/SE Asia,mistral,2.038069145588926,1.9329038055029142,168,168
East/SE Asia,qwen,2.5065672790744244,2.5638187648002972,168,168
East/SE Asia,gemma,2.8801631502255565,2.6001572267517683,252,252
East/SE Asia,gpt-oss,3.873011138729057,4.893566239359911,75,73
