country,region,model_family,mean_pmi_gap
United States,North America,llama,3.075300971514244
United States,North America,mistral,2.5454564275978537
United States,North America,qwen,3.8786915422569037
United States,North America,gemma,2.499076206996999
United States,North America,gpt-oss,1.4623683578266353
United States,North America,gpt,3.362316504106259
United States,North America,claude,6.137160610102618
Canada,North America,llama,2.9295686976555255
Canada,North America,mistral,0.8875973380689964
Canada,North America,qwen,2.2386605766430434
Canada,North America,gemma,2.6224643948642394
Canada,North America,gpt-oss,1.763466945385184
Canada,North America,gpt,2.932652382282809
Canada,North America,claude,3.9225948082124766
Mexico,Latin America,llama,2.81979374679293
Mexico,Latin America,mistral,1.6829673765141504
Mexico,Latin America,qwen,1.473286900215886
Mexico,Latin America,gemma,0.7580818458638596
Mexico,Latin America,gpt-oss,0.8665187910509307
Mexico,Latin America,gpt,1.0642425920943457
Mexico,Latin America,claude,4.796468836176897
Brazil,Latin America,llama,2.0471937234060884
Brazil,Latin America,mistral,0.9027967164478635
Brazil,Latin America,qwen,0.8875269417968171
Brazil,Latin America,gemma,1.6358906888628233
Brazil,Latin America,gpt-oss,0.0404868115888156
Brazil,Latin America,gpt,1.839260839618703
Brazil,Latin America,claude,3.996564758325882
Argentina,Latin America,llama,1.2234142212363492
Argentina,Latin America,mistral,2.821605838256527
Argentina,Latin America,qwen,2.208168769023007
Argentina,Latin America,gemma,2.612405547954172
Argentina,Latin America,gpt-oss,2.457485159238549
Argentina,Latin America,gpt,2.815440210832122
Argentina,Latin America,claude,3.3274087461691404
Colombia,Latin America,llama,1.9091777246916275
Colombia,Latin America,mistral,1.4152851171371958
Colombia,Latin America,qwen,2.1940879506717392
Colombia,Latin America,gemma,1.0549253136799013
Colombia,Latin America,gpt-oss,0.9095384920348083
Colombia,Latin America,gpt,1.1491167400741487
Colombia,Latin America,claude,2.5669130829656996
United Arab Emirates,MENA,llama,2.348720723997772
United Arab Emirates,MENA,mistral,2.4851970251554603
United Arab Emirates,MENA,qwen,2.459518814896205
United Arab Emirates,MENA,gemma,1.9901082487267008
United Arab Emirates,MENA,gpt-oss,1.0772247014860212
United Arab Emirates,MENA,gpt,4.827839814759127
United Arab Emirates,MENA,claude,5.790113598027105
Saudi Arabia,MENA,llama,2.718259371947102
Saudi Arabia,MENA,mistral,1.3172165750647002
Saudi Arabia,MENA,qwen,2.2415504815015694
Saudi Arabia,MENA,gemma,2.7531599732051037
Saudi Arabia,MENA,gpt-oss,2.217547025787663
Saudi Arabia,MENA,gpt,4.053854810608904
Saudi Arabia,MENA,claude,4.370828088771487
Iran,MENA,llama,1.859179588104077
Iran,MENA,mistral,1.866411078897908
Iran,MENA,qwen,1.7199206915719578
Iran,MENA,gemma,1.7395779980951038
Iran,MENA,gpt-oss,2.369855631663776
Iran,MENA,gpt,2.0036135330711415
Iran,MENA,claude,3.53623286893929
Egypt,MENA,llama,2.348501746970783
Egypt,MENA,mistral,1.0198047082908832
Egypt,MENA,qwen,1.1790030726816787
Egypt,MENA,gemma,1.7911336460198612
Egypt,MENA,gpt-oss,2.7428897975006077
Egypt,MENA,gpt,1.2581712920293542
Egypt,MENA,claude,2.5274388685975997
Turkey,MENA,llama,1.314778088454929
Turkey,MENA,mistral,2.698156534885833
Turkey,MENA,qwen,1.414698588038527
Turkey,MENA,gemma,1.0273667359012404
Turkey,MENA,gpt-oss,2.367176766071371
Turkey,MENA,gpt,1.8748151352946643
Turkey,MENA,claude,5.0373699294870065
Morocco,MENA,llama,2.7170257363574035
Morocco,MENA,mistral,1.3329425345835226
Morocco,MENA,qwen,2.6361292898555995
Morocco,MENA,gemma,1.459740631799539
Morocco,MENA,gpt-oss,0.2939965793161796
Morocco,MENA,gpt,2.2539476829670186
Morocco,MENA,claude,5.056044926098658
Nigeria,Sub-Saharan Africa,llama,2.3823591242947972
Nigeria,Sub-Saharan Africa,mistral,0.25397040442892754
Nigeria,Sub-Saharan Africa,qwen,1.3881276353893728
Nigeria,Sub-Saharan Africa,gemma,1.7036265683110285
Nigeria,Sub-Saharan Africa,gpt-oss,1.3270427016664874
Nigeria,Sub-Saharan Africa,gpt,1.6460835861361216
