group,n_flagged,n_accepted,acceptance_rate,mean_score_before,mean_score_after,mean_reduction_pct,pct_above_sim085
Overall,1291,851,0.659,2.3317,1.2924,57.39,
child_gender=daughter,523,510,0.975,3.836,1.8371,51.94,
child_gender=son,768,341,0.444,1.3072,0.4777,65.54,
model=gemma,457,300,0.656,2.5103,1.4432,54.8,
model=mistral,223,122,0.547,1.8762,0.9601,60.78,
model=gpt-oss,102,91,0.892,3.3982,1.8443,49.45,
model=llama,372,246,0.661,2.3096,1.2802,57.34,
model=qwen,137,92,0.672,1.743,0.7275,69.31,
region=North America,78,51,0.654,2.346,1.3596,59.16,
region=Latin America,133,90,0.677,2.2366,1.1533,59.73,
region=Europe/Oceania,276,179,0.649,2.2034,1.2746,56.6,
region=MENA,230,153,0.665,2.4924,1.4013,55.39,
region=Sub-Saharan Africa,185,112,0.605,2.1744,1.2773,55.48,
region=South Asia,115,78,0.678,2.4306,1.2742,59.95,
region=East/SE Asia,274,188,0.686,2.4327,1.2855,58.24,
