model_key,axis,exposure_log_rate_effect_mean,exposure_log_rate_hdi_low,exposure_log_rate_hdi_high,RSA_mean,RSA_hdi_low,RSA_hdi_high,Q_mean,Q_hdi_low,Q_hdi_high,MI_mean,JSD_mean,NMA_mean_father_mother_only,diversity_H_normalized_mean,diversity_effective_vocab_mean,lexicon_coverage_mean,RSA_country_icc
ollama-gemma3-12b,domain,-0.6739923281596973,-0.9183997220721511,-0.4192388187632603,0.9283810349706884,0.4107068333173334,1.3999722487642252,0.4278657329045191,0.21907182882452264,0.6176529244681287,0.03768272445087656,0.04462673192035487,-0.07042664400072807,0.9566471668524038,1.283250010917247,0.03940077980710035,0.026175669879185015
ollama-llama32-3b,domain,-0.33857764789251255,-0.5852104254623808,-0.09545566191694965,0.8695167009811341,0.4495488252526644,1.2522903733047923,0.4057555003557736,0.2327241079002555,0.5641906637901922,0.043521089281696006,0.05050014033638059,0.3202064253433076,0.9672657518708498,1.4042725245474705,0.043153427768812376,0.013752390975474095
anthropic-sonnet46,domain,0.2789812020614315,0.022288423730755038,0.510552671082594,0.7015966197029091,0.3744145286064884,1.04167100136385,0.3348471706960961,0.1878109972903447,0.4829226959766756,0.057832027329269425,0.06612477576308987,0.0731960672930141,0.9180667785290518,1.4597363340370324,0.045929379262712594,0.11102221058835822
ollama-mistral-7b,domain,-0.2770668160111406,-0.5258437265895565,-0.03183257198696934,0.6430072189642749,0.22511472467453125,1.0844414831015627,0.3074488253330025,0.11526456755561122,0.4988133787122854,0.041778350724549405,0.049362070367381695,0.5393451315091432,0.9669997232945082,1.429699920646088,0.04397634885439763,0.026417511872623714
ollama-llama3-70b,domain,-0.3167556924488076,-0.5710802146448691,-0.08077066711050672,0.47806891658669665,0.023765381666908725,0.9509835913834747,0.23155156098898516,0.005630856649194207,0.4398800686253238,0.03663600093471753,0.04230835020225576,0.3144069550798369,0.9776351719620423,1.3801011861199344,0.042209617251775765,-0.004334302404385872
ollama-llama32-1b,domain,-0.20750804553079616,-0.4701619662854441,0.05495259018430278,0.4005290227543975,-0.12118303418761464,0.9899852913810512,0.19403554605212053,-0.07109622176801754,0.45111877850849325,0.012142824525611442,0.015887739895140574,0.1537695968612251,0.962283499539131,1.913483022542699,0.06000600060006,0.09311731864267933
anthropic-haiku45,domain,0.3366824704751339,0.10618933334888864,0.5909090495653322,0.3781048482744403,0.0735554213110971,0.6776912375965243,0.18574799836112946,0.03811753483272849,0.32855659705043516,0.05297799622735093,0.06342206262362293,-0.04733265383221066,0.9344002160322316,1.6599230465254895,0.05238675879510454,0.05909316333363897
ollama-gemma3-27b,domain,-0.7952412775241144,-1.0576443819006538,-0.5574175896740071,0.28049605054060317,-0.09102974034456413,0.6415966327982373,0.13816742083405859,-0.03996587070668107,0.31611784991699426,0.03651648317227482,0.040467552992804745,0.041586166576052644,0.9734846822432099,1.2432647188242307,0.037934904601571263,0.0432209873968868
ollama-gptoss-20b,domain,0.3348668334254484,0.09825878132749798,0.5867346222524413,0.2611352079100145,-0.3548171177899456,0.8643990090627154,0.12694972888950892,-0.17760908285538934,0.40549682014128957,0.021659056880499423,0.02695909400107989,1.0245409581414715,0.9612704555272945,1.6162372800555898,0.050053248136315225,0.07880115938834663
openai-gpt41,domain,0.4709396165984922,0.2295139660572288,0.7140932310120521,0.22436229095270424,-0.2102479698397248,0.6969757488274606,0.11028464974763318,-0.11670301761633761,0.3256913372866199,0.029608397868923237,0.035892063463544295,0.2043426761905085,0.9422157328197276,1.7627787156760928,0.055522196869620906,0.06425881596147041
ollama-gemma2-2b,domain,-0.17822724320686142,-0.4210025279226287,0.0637656225759905,0.19792671007251023,-0.21382345162131156,0.6471757621283658,0.09747506687064822,-0.11752935696536024,0.30431531287788927,0.04439514770618334,0.05431539816432454,0.048005516290915484,0.9549419327320519,1.5557404736286284,0.04828864181382166,0.014747669266519475
ollama-qwen25-7b,domain,0.5577976642192862,0.2967940638059556,0.7735718203666191,0.1687704486827252,-0.25873937545034126,0.5454119904182813,0.08336463362469056,-0.12029689421547092,0.2771020836611255,0.027238258818269502,0.032422254351935235,0.0010832795827334873,0.9538499383456646,1.8738892492408938,0.058670143415906116,0.015900866031215044
ollama-qwen25-3b,domain,0.6572608634759037,0.39422208003878856,0.8779214716239514,0.1664411558880631,-0.2148126948466637,0.5571837488958746,0.08220648584163709,-0.10742370623953783,0.2715164193887573,0.029445340128670408,0.034488191594000614,0.043142203397241834,0.9493166938841868,1.8594214778310325,0.0584332440926551,-0.007850888087616257
ollama-mistral-nemo,domain,0.04787791827584715,-0.20913381384040225,0.27133482726473707,0.1297630706910083,-0.3457491908371947,0.5447310609947238,0.06404481097365831,-0.1663860567015871,0.2718461220215821,0.03871386793252571,0.048145205968776535,-0.03898406133964987,0.9424635511704299,1.5646650361513803,0.04888554971199599,0.008014385607779118
ollama-llama31-8b,domain,-0.020851645973536996,-0.2747939875580198,0.21153577856368277,0.014488015940848236,-0.41445181533837283,0.4154530464993795,0.0071901758369254665,-0.2009225989269072,0.20903595875575112,0.03505081462066614,0.041327650444309166,-0.28076980260814904,0.9757576502838544,1.5447462189117378,0.0473454152546535,0.005706101947418701
openai-gpt4o,domain,0.08317690673010998,-0.16151154265048787,0.3215358042833157,-0.08152115833025349,-0.695753034685076,0.45058336773326535,-0.03968254359766797,-0.33023118890473047,0.2278165553791113,0.03717801357821096,0.0479874070784538,-0.15160945336263204,0.9489358243106795,1.5639667204878696,0.0487062404870624,0.048501883227588145
anthropic-sonnet46,role,-0.3080461044047617,-0.4094313025751398,-0.20934126148507493,0.3404652425156553,0.25896264118654483,0.4308555878510417,0.1685278068505968,0.1263212276764016,0.21017238717750644,0.031867111399838936,0.03312049890484906,-0.11196320213469559,0.9694004562942135,10.557352399567307,0.01849115867845503,0.09696033247379378
ollama-llama3-70b,role,0.28054760338062024,0.1840598494482141,0.38324978233679613,0.2865857866519906,0.20949646608455164,0.3574519190834964,0.14226919206840935,0.10620792233879696,0.17903254159078869,0.02214731779111129,0.0225279875391178,0.02942538411636531,0.9660981569557743,16.7200285529768,0.029975182255312507,0.04195318818138127
ollama-gptoss-20b,role,-0.217034245300198,-0.3125558027070764,-0.11293210480921144,0.23144045705993765,0.13863805282046007,0.3329621008907583,0.11513591429047144,0.06726204102601678,0.16358306091075459,0.03955960468621586,0.04112739821573658,0.3143563550686828,0.9742815383311969,10.079181168338444,0.017413137893593857,-0.006069349763215629
