,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,9.785,0.895,8.087,11.381,0.013,0.015,4741.0,2999.0,1.0
Intercept,-4.134,0.122,-4.353,-3.889,0.006,0.004,465.0,679.0,1.01
narrator_gender[male],-0.04,0.035,-0.108,0.023,0.001,0.001,1510.0,2099.0,1.0
narrator_gender[unspecified],0.039,0.038,-0.035,0.108,0.001,0.001,1496.0,1746.0,1.0
recipient_gender_condition[male],-0.076,0.024,-0.122,-0.032,0.001,0.0,2145.0,2766.0,1.0
"narrator_gender:recipient_gender_condition[male, male]",0.007,0.036,-0.056,0.077,0.001,0.001,2376.0,2696.0,1.0
"narrator_gender:recipient_gender_condition[unspecified, male]",-0.01,0.037,-0.078,0.06,0.001,0.001,2221.0,2613.0,1.0
1|country_sigma,0.106,0.016,0.078,0.136,0.001,0.0,902.0,1989.0,1.01
1|narrator_role_sigma,0.032,0.016,0.001,0.058,0.0,0.0,979.0,1170.0,1.0
1|model_key_sigma,0.465,0.098,0.301,0.643,0.004,0.003,711.0,1235.0,1.01
1|country[Argentina],-0.045,0.045,-0.128,0.04,0.001,0.001,3144.0,2625.0,1.0
1|country[Australia],-0.011,0.044,-0.09,0.076,0.001,0.001,2861.0,2484.0,1.0
1|country[Brazil],-0.028,0.044,-0.108,0.056,0.001,0.001,3426.0,2675.0,1.0
1|country[Canada],0.237,0.043,0.16,0.32,0.001,0.001,2892.0,3103.0,1.0
1|country[China],0.039,0.042,-0.037,0.12,0.001,0.001,3153.0,3049.0,1.0
1|country[Colombia],-0.087,0.046,-0.177,-0.007,0.001,0.001,2884.0,2905.0,1.0
1|country[Egypt],-0.174,0.046,-0.26,-0.084,0.001,0.001,3439.0,3236.0,1.0
1|country[Ethiopia],0.052,0.044,-0.028,0.137,0.001,0.001,3242.0,2583.0,1.0
1|country[France],-0.047,0.044,-0.131,0.035,0.001,0.001,3452.0,2684.0,1.0
1|country[Germany],0.036,0.044,-0.044,0.12,0.001,0.001,2918.0,2946.0,1.0
1|country[Ghana],-0.08,0.046,-0.161,0.016,0.001,0.001,3322.0,2859.0,1.0
1|country[Greece],-0.057,0.045,-0.143,0.028,0.001,0.001,3081.0,2819.0,1.0
1|country[India],-0.079,0.045,-0.17,-0.001,0.001,0.001,2868.0,2680.0,1.0
1|country[Indonesia],-0.006,0.045,-0.089,0.079,0.001,0.001,3235.0,2276.0,1.0
1|country[Iran],-0.082,0.045,-0.166,0.005,0.001,0.001,3207.0,3107.0,1.0
1|country[Italy],-0.017,0.045,-0.107,0.06,0.001,0.001,2855.0,2744.0,1.0
1|country[Japan],-0.011,0.044,-0.093,0.071,0.001,0.001,3226.0,2976.0,1.0
1|country[Kenya],0.045,0.044,-0.034,0.131,0.001,0.001,2697.0,2735.0,1.0
1|country[Mexico],-0.079,0.046,-0.165,0.007,0.001,0.001,3406.0,2533.0,1.0
1|country[Morocco],0.045,0.044,-0.034,0.125,0.001,0.001,3207.0,2459.0,1.0
1|country[Nigeria],-0.115,0.047,-0.204,-0.03,0.001,0.001,3450.0,2839.0,1.0
1|country[Pakistan],0.05,0.043,-0.028,0.134,0.001,0.001,3108.0,3013.0,1.0
1|country[Philippines],-0.027,0.044,-0.112,0.054,0.001,0.001,3062.0,3218.0,1.0
1|country[Poland],0.05,0.043,-0.029,0.132,0.001,0.001,3223.0,2811.0,1.0
1|country[Russia],0.013,0.045,-0.077,0.092,0.001,0.001,3202.0,2616.0,1.0
1|country[Saudi Arabia],0.008,0.045,-0.079,0.089,0.001,0.001,2916.0,2634.0,1.0
1|country[South Africa],0.004,0.044,-0.08,0.086,0.001,0.001,3029.0,2779.0,1.0
