,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,68.914,4.187,61.347,76.766,0.047,0.075,7890.0,3021.0,1.0
Intercept,-1.666,0.051,-1.765,-1.571,0.002,0.001,548.0,974.0,1.0
narrator_gender[male],-0.001,0.01,-0.02,0.02,0.0,0.0,2643.0,2213.0,1.0
narrator_gender[unspecified],-0.006,0.012,-0.029,0.015,0.0,0.0,2674.0,2607.0,1.0
recipient_gender_condition[male],-0.014,0.007,-0.028,-0.002,0.0,0.0,3123.0,3167.0,1.0
"narrator_gender:recipient_gender_condition[male, male]",0.01,0.011,-0.01,0.03,0.0,0.0,3606.0,3190.0,1.0
"narrator_gender:recipient_gender_condition[unspecified, male]",0.014,0.011,-0.007,0.036,0.0,0.0,3491.0,2978.0,1.0
1|country_sigma,0.047,0.006,0.035,0.059,0.0,0.0,811.0,1545.0,1.0
1|narrator_role_sigma,0.01,0.005,0.001,0.019,0.0,0.0,1099.0,1144.0,1.0
1|model_key_sigma,0.194,0.038,0.129,0.266,0.001,0.001,853.0,1260.0,1.0
1|country[Argentina],0.002,0.015,-0.027,0.03,0.0,0.0,2593.0,2706.0,1.0
1|country[Australia],0.056,0.015,0.027,0.084,0.0,0.0,2478.0,2748.0,1.0
1|country[Brazil],-0.005,0.015,-0.034,0.023,0.0,0.0,2494.0,2975.0,1.0
1|country[Canada],0.096,0.015,0.067,0.124,0.0,0.0,2466.0,2706.0,1.0
1|country[China],-0.005,0.015,-0.035,0.023,0.0,0.0,2657.0,2364.0,1.0
1|country[Colombia],-0.03,0.015,-0.056,-0.001,0.0,0.0,2402.0,2311.0,1.0
1|country[Egypt],-0.038,0.015,-0.068,-0.01,0.0,0.0,2767.0,2627.0,1.0
1|country[Ethiopia],0.04,0.015,0.013,0.07,0.0,0.0,2629.0,2053.0,1.0
1|country[France],-0.061,0.015,-0.089,-0.032,0.0,0.0,2504.0,2811.0,1.0
1|country[Germany],-0.056,0.015,-0.083,-0.024,0.0,0.0,2325.0,2884.0,1.0
1|country[Ghana],0.062,0.015,0.034,0.09,0.0,0.0,2726.0,2807.0,1.0
1|country[Greece],-0.035,0.015,-0.064,-0.008,0.0,0.0,2768.0,2882.0,1.0
1|country[India],-0.014,0.015,-0.043,0.014,0.0,0.0,2635.0,2776.0,1.0
1|country[Indonesia],-0.001,0.015,-0.03,0.028,0.0,0.0,2537.0,2431.0,1.0
1|country[Iran],-0.061,0.015,-0.09,-0.032,0.0,0.0,2305.0,2847.0,1.0
1|country[Italy],-0.057,0.015,-0.086,-0.028,0.0,0.0,2453.0,3121.0,1.0
1|country[Japan],0.002,0.015,-0.027,0.03,0.0,0.0,2256.0,2708.0,1.0
1|country[Kenya],0.05,0.015,0.022,0.078,0.0,0.0,2376.0,2699.0,1.0
1|country[Mexico],0.028,0.015,-0.0,0.055,0.0,0.0,2308.0,2610.0,1.0
1|country[Morocco],-0.064,0.016,-0.092,-0.035,0.0,0.0,2517.0,2983.0,1.0
1|country[Nigeria],0.048,0.015,0.02,0.075,0.0,0.0,2406.0,2666.0,1.0
1|country[Pakistan],0.021,0.015,-0.009,0.048,0.0,0.0,2661.0,2413.0,1.0
1|country[Philippines],0.061,0.015,0.032,0.089,0.0,0.0,2378.0,2503.0,1.0
1|country[Poland],-0.011,0.015,-0.039,0.018,0.0,0.0,2723.0,2706.0,1.0
1|country[Russia],-0.04,0.016,-0.068,-0.01,0.0,0.0,2639.0,2708.0,1.0
1|country[Saudi Arabia],-0.008,0.015,-0.036,0.021,0.0,0.0,2736.0,2707.0,1.0
1|country[South Africa],0.039,0.015,0.011,0.066,0.0,0.0,2345.0,2763.0,1.0
1|country[South Korea],0.005,0.015,-0.023,0.032,0.0,0.0,2494.0,2698.0,1.0
1|country[Spain],-0.05,0.015,-0.078,-0.02,0.0,0.0,2474.0,2802.0,1.0
1|country[Sri Lanka],-0.032,0.015,-0.061,-0.004,0.0,0.0,2544.0,2766.0,1.0
1|country[Thailand],0.007,0.015,-0.021,0.034,0.0,0.0,2398.0,2721.0,1.0
1|country[Turkey],-0.02,0.015,-0.048,0.009,0.0,0.0,2627.0,2959.0,1.0
1|country[United Arab Emirates],-0.007,0.015,-0.036,0.021,0.0,0.0,2482.0,2632.0,1.0
1|country[United States],0.077,0.015,0.05,0.106,0.0,0.0,2537.0,2980.0,1.0
1|country[Vietnam],0.015,0.015,-0.011,0.044,0.0,0.0,2566.0,2648.0,1.0
1|narrator_role[Aunt],0.003,0.008,-0.013,0.017,0.0,0.0,3723.0,3059.0,1.0
1|narrator_role[Cousin],-0.003,0.008,-0.02,0.012,0.0,0.0,3900.0,2926.0,1.0
1|narrator_role[Family Doctor],0.007,0.009,-0.009,0.024,0.0,0.0,3548.0,3345.0,1.0
1|narrator_role[Father],0.004,0.008,-0.011,0.018,0.0,0.0,3854.0,3509.0,1.0
1|narrator_role[Grandfather],-0.005,0.008,-0.021,0.009,0.0,0.0,3872.0,2890.0,1.0
1|narrator_role[Grandmother],-0.006,0.008,-0.022,0.008,0.0,0.0,3310.0,2969.0,1.0
1|narrator_role[Mother],0.007,0.008,-0.007,0.022,0.0,0.0,3195.0,2849.0,1.0
1|narrator_role[Nanny],-0.011,0.009,-0.027,0.004,0.0,0.0,2163.0,3039.0,1.0
1|narrator_role[Older Brother],0.005,0.008,-0.008,0.021,0.0,0.0,3400.0,3049.0,1.0
1|narrator_role[Older Sister],0.007,0.008,-0.007,0.022,0.0,0.0,2987.0,3083.0,1.0
1|narrator_role[Teacher],-0.004,0.008,-0.021,0.011,0.0,0.0,3472.0,3091.0,1.0
1|narrator_role[Uncle],-0.004,0.008,-0.02,0.011,0.0,0.0,4059.0,3367.0,1.0
1|model_key[anthropic-haiku45],-0.073,0.051,-0.169,0.021,0.002,0.002,524.0,929.0,1.0
1|model_key[anthropic-sonnet46],-0.308,0.051,-0.402,-0.212,0.002,0.002,526.0,991.0,1.0
1|model_key[ollama-gemma2-2b],-0.17,0.051,-0.267,-0.076,0.002,0.002,527.0,1000.0,1.0
1|model_key[ollama-gemma3-12b],-0.039,0.051,-0.132,0.056,0.002,0.002,524.0,953.0,1.0
1|model_key[ollama-gemma3-27b],-0.0,0.051,-0.095,0.095,0.002,0.002,517.0,974.0,1.0
1|model_key[ollama-gptoss-20b],-0.217,0.051,-0.311,-0.121,0.002,0.002,532.0,991.0,1.0
1|model_key[ollama-llama3-70b],0.281,0.051,0.184,0.373,0.002,0.002,508.0,889.0,1.0
1|model_key[ollama-llama31-8b],0.249,0.051,0.149,0.339,0.002,0.002,527.0,932.0,1.0
1|model_key[ollama-llama32-1b],-0.093,0.053,-0.192,0.007,0.002,0.001,585.0,1257.0,1.0
1|model_key[ollama-llama32-3b],0.233,0.051,0.132,0.322,0.002,0.001,521.0,922.0,1.0
1|model_key[ollama-mistral-7b],-0.005,0.051,-0.1,0.087,0.002,0.002,510.0,942.0,1.0
1|model_key[ollama-mistral-nemo],-0.181,0.051,-0.28,-0.09,0.002,0.002,520.0,925.0,1.0
1|model_key[ollama-qwen25-3b],0.192,0.051,0.101,0.29,0.002,0.002,527.0,890.0,1.0
1|model_key[ollama-qwen25-7b],0.117,0.051,0.019,0.208,0.002,0.002,525.0,957.0,1.0
1|model_key[openai-gpt41],0.045,0.051,-0.054,0.136,0.002,0.002,512.0,1004.0,1.0
1|model_key[openai-gpt4o],-0.086,0.051,-0.183,0.008,0.002,0.002,517.0,1045.0,1.0
