,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,2185.397,14795.537,37.74,5084.253,279.214,3602.486,4224.0,2230.0,1.0
Intercept,-5.531,0.192,-5.878,-5.163,0.007,0.005,683.0,1094.0,1.0
narrator_gender[male],-0.17,0.054,-0.27,-0.068,0.001,0.001,2657.0,2732.0,1.0
narrator_gender[unspecified],-0.07,0.057,-0.18,0.035,0.001,0.001,2390.0,2084.0,1.0
recipient_gender_condition[male],-0.179,0.041,-0.256,-0.108,0.001,0.001,2716.0,3021.0,1.0
"narrator_gender:recipient_gender_condition[male, male]",0.022,0.064,-0.106,0.137,0.001,0.001,2955.0,2911.0,1.0
"narrator_gender:recipient_gender_condition[unspecified, male]",-0.074,0.067,-0.194,0.056,0.001,0.001,2963.0,2953.0,1.0
1|country_sigma,0.114,0.022,0.075,0.155,0.001,0.0,1046.0,2286.0,1.0
1|narrator_role_sigma,0.04,0.026,0.0,0.084,0.001,0.001,1103.0,1526.0,1.01
1|model_key_sigma,0.74,0.149,0.497,1.023,0.005,0.003,1023.0,1930.0,1.0
1|country[Argentina],-0.064,0.069,-0.194,0.065,0.001,0.001,4946.0,3393.0,1.0
1|country[Australia],-0.048,0.068,-0.174,0.078,0.001,0.001,5710.0,3016.0,1.0
1|country[Brazil],-0.06,0.07,-0.185,0.078,0.001,0.001,5319.0,3098.0,1.0
1|country[Canada],0.181,0.067,0.056,0.305,0.001,0.001,4293.0,2928.0,1.0
1|country[China],-0.011,0.067,-0.131,0.12,0.001,0.001,6264.0,2941.0,1.0
1|country[Colombia],0.006,0.066,-0.121,0.125,0.001,0.001,5652.0,2943.0,1.0
1|country[Egypt],-0.101,0.071,-0.231,0.031,0.001,0.001,4890.0,3092.0,1.0
1|country[Ethiopia],-0.014,0.068,-0.14,0.114,0.001,0.001,5607.0,2867.0,1.0
1|country[France],-0.152,0.072,-0.283,-0.011,0.001,0.001,4381.0,3025.0,1.0
1|country[Germany],-0.099,0.069,-0.236,0.025,0.001,0.001,4408.0,3010.0,1.0
1|country[Ghana],0.056,0.067,-0.067,0.18,0.001,0.001,4991.0,2744.0,1.0
1|country[Greece],0.067,0.066,-0.056,0.193,0.001,0.001,5016.0,2999.0,1.0
1|country[India],0.024,0.066,-0.101,0.145,0.001,0.001,4863.0,3221.0,1.0
1|country[Indonesia],-0.038,0.069,-0.167,0.091,0.001,0.001,5699.0,3035.0,1.0
1|country[Iran],-0.044,0.067,-0.169,0.082,0.001,0.001,5304.0,3452.0,1.0
1|country[Italy],-0.034,0.069,-0.162,0.092,0.001,0.001,5576.0,3135.0,1.0
1|country[Japan],-0.021,0.068,-0.15,0.108,0.001,0.001,4800.0,3131.0,1.0
1|country[Kenya],0.236,0.068,0.109,0.362,0.001,0.001,4403.0,3286.0,1.0
1|country[Mexico],-0.002,0.067,-0.131,0.12,0.001,0.001,4755.0,3062.0,1.0
1|country[Morocco],-0.119,0.069,-0.247,0.013,0.001,0.001,4320.0,3255.0,1.0
1|country[Nigeria],0.15,0.066,0.026,0.273,0.001,0.001,4058.0,3023.0,1.0
1|country[Pakistan],-0.035,0.067,-0.156,0.097,0.001,0.001,5043.0,2884.0,1.0
1|country[Philippines],-0.001,0.066,-0.121,0.128,0.001,0.001,4838.0,3079.0,1.0
1|country[Poland],-0.099,0.072,-0.242,0.032,0.001,0.001,4898.0,2806.0,1.0
1|country[Russia],-0.125,0.071,-0.262,0.004,0.001,0.001,3838.0,3009.0,1.0
1|country[Saudi Arabia],0.0,0.067,-0.131,0.121,0.001,0.001,5329.0,3263.0,1.0
1|country[South Africa],0.108,0.066,-0.026,0.223,0.001,0.001,5394.0,3263.0,1.0
1|country[South Korea],0.072,0.066,-0.06,0.188,0.001,0.001,4954.0,3010.0,1.0
1|country[Spain],-0.051,0.065,-0.171,0.075,0.001,0.001,5441.0,3234.0,1.0
1|country[Sri Lanka],-0.005,0.067,-0.128,0.122,0.001,0.001,5398.0,2987.0,1.0
