,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
kappa,5.894,0.648,4.679,7.114,0.007,0.011,9065.0,3244.0,1.0
Intercept,-2.786,0.226,-3.206,-2.357,0.007,0.004,1182.0,1782.0,1.0
narrator_gender[male],0.218,0.115,0.008,0.439,0.002,0.002,4129.0,3064.0,1.0
narrator_gender[unspecified],0.033,0.121,-0.206,0.242,0.002,0.002,3956.0,3195.0,1.0
recipient_gender_condition[male],0.362,0.138,0.117,0.636,0.003,0.002,2605.0,2934.0,1.0
"narrator_gender:recipient_gender_condition[male, male]",0.038,0.133,-0.21,0.284,0.002,0.002,4219.0,3186.0,1.0
"narrator_gender:recipient_gender_condition[unspecified, male]",0.002,0.148,-0.266,0.279,0.002,0.003,4544.0,2867.0,1.0
1|country_sigma,0.277,0.051,0.187,0.374,0.001,0.001,1674.0,2788.0,1.0
1|narrator_role_sigma,0.061,0.047,0.0,0.141,0.001,0.001,1568.0,2524.0,1.0
1|model_key_sigma,0.835,0.18,0.519,1.162,0.004,0.004,1744.0,2371.0,1.0
recipient_gender_condition|model_key_sigma[male],0.393,0.116,0.188,0.611,0.002,0.002,2242.0,2505.0,1.0
1|country[Argentina],-0.266,0.171,-0.594,0.05,0.002,0.003,6816.0,3092.0,1.0
1|country[Australia],-0.55,0.185,-0.887,-0.195,0.003,0.003,5043.0,2826.0,1.0
1|country[Brazil],-0.245,0.162,-0.541,0.065,0.002,0.003,6504.0,2818.0,1.0
1|country[Canada],-0.411,0.161,-0.703,-0.106,0.002,0.003,5888.0,2973.0,1.0
1|country[China],0.302,0.14,0.031,0.555,0.002,0.002,6041.0,3360.0,1.0
1|country[Colombia],0.015,0.158,-0.278,0.311,0.002,0.003,6146.0,2873.0,1.0
1|country[Egypt],0.478,0.151,0.203,0.761,0.002,0.002,5257.0,3116.0,1.0
1|country[Ethiopia],-0.052,0.147,-0.341,0.206,0.002,0.003,5915.0,2881.0,1.0
1|country[France],0.051,0.155,-0.227,0.354,0.002,0.003,7812.0,2392.0,1.0
1|country[Germany],0.142,0.149,-0.132,0.429,0.002,0.003,6772.0,2833.0,1.0
1|country[Ghana],0.241,0.144,-0.012,0.533,0.002,0.002,5804.0,2842.0,1.0
1|country[Greece],-0.013,0.15,-0.291,0.274,0.002,0.003,7087.0,2967.0,1.0
1|country[India],0.071,0.154,-0.226,0.346,0.002,0.003,7335.0,2714.0,1.0
1|country[Indonesia],-0.078,0.149,-0.358,0.197,0.002,0.002,6887.0,3161.0,1.0
1|country[Iran],0.046,0.157,-0.253,0.338,0.002,0.003,6587.0,3143.0,1.0
1|country[Italy],0.134,0.151,-0.137,0.426,0.002,0.003,7004.0,3115.0,1.0
1|country[Japan],0.103,0.145,-0.179,0.366,0.002,0.002,6731.0,3114.0,1.0
1|country[Kenya],0.02,0.14,-0.246,0.277,0.002,0.002,5941.0,3036.0,1.0
1|country[Mexico],0.231,0.147,-0.045,0.51,0.002,0.003,7068.0,2713.0,1.0
1|country[Morocco],0.174,0.142,-0.079,0.458,0.002,0.002,6247.0,2917.0,1.0
1|country[Nigeria],0.203,0.147,-0.068,0.483,0.002,0.002,6635.0,3117.0,1.0
1|country[Pakistan],0.315,0.144,0.046,0.582,0.002,0.002,6880.0,3256.0,1.0
1|country[Philippines],-0.155,0.156,-0.444,0.133,0.002,0.003,6246.0,3167.0,1.0
1|country[Poland],0.178,0.145,-0.099,0.444,0.002,0.002,5864.0,3102.0,1.0
1|country[Russia],-0.342,0.168,-0.654,-0.023,0.002,0.003,5543.0,3114.0,1.0
1|country[Saudi Arabia],-0.224,0.17,-0.556,0.087,0.002,0.003,7217.0,3216.0,1.0
1|country[South Africa],-0.338,0.169,-0.684,-0.042,0.002,0.003,6199.0,3043.0,1.0
1|country[South Korea],-0.133,0.147,-0.409,0.149,0.002,0.002,6778.0,3024.0,1.0
1|country[Spain],-0.02,0.157,-0.32,0.264,0.002,0.003,6838.0,3317.0,1.0
1|country[Sri Lanka],0.027,0.148,-0.247,0.307,0.002,0.002,6645.0,2882.0,1.0
1|country[Thailand],-0.071,0.148,-0.352,0.207,0.002,0.003,6703.0,3154.0,1.0
1|country[Turkey],0.089,0.147,-0.168,0.382,0.002,0.003,5703.0,2541.0,1.0
1|country[United Arab Emirates],-0.193,0.16,-0.502,0.096,0.002,0.003,6498.0,2776.0,1.0
1|country[United States],0.064,0.132,-0.171,0.328,0.002,0.002,7043.0,3050.0,1.0
1|country[Vietnam],0.158,0.137,-0.096,0.419,0.002,0.002,6591.0,3114.0,1.0
1|narrator_role[Aunt],0.033,0.063,-0.063,0.176,0.001,0.001,4312.0,3326.0,1.0
1|narrator_role[Cousin],0.002,0.062,-0.117,0.129,0.001,0.002,5106.0,3130.0,1.0
