,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
kappa,33.559,1.22,31.295,35.82,0.018,0.02,4676.0,3011.0,1.0
Intercept,-0.444,0.086,-0.61,-0.286,0.004,0.002,461.0,1014.0,1.01
narrator_gender[male],0.055,0.022,0.011,0.095,0.0,0.0,2401.0,2663.0,1.0
narrator_gender[unspecified],-0.038,0.023,-0.079,0.007,0.0,0.0,2502.0,2540.0,1.0
recipient_gender_condition[male],0.152,0.033,0.091,0.215,0.001,0.001,1037.0,1735.0,1.0
"narrator_gender:recipient_gender_condition[male, male]",0.044,0.024,0.001,0.09,0.0,0.0,3026.0,3178.0,1.0
"narrator_gender:recipient_gender_condition[unspecified, male]",0.037,0.026,-0.012,0.086,0.0,0.0,2982.0,3040.0,1.0
1|country_sigma,0.042,0.009,0.027,0.058,0.0,0.0,1330.0,2020.0,1.0
1|narrator_role_sigma,0.017,0.011,0.0,0.035,0.0,0.0,1158.0,1369.0,1.0
1|model_key_sigma,0.341,0.07,0.218,0.457,0.003,0.003,696.0,952.0,1.01
recipient_gender_condition|model_key_sigma[male],0.106,0.025,0.062,0.152,0.001,0.001,1193.0,2025.0,1.0
1|country[Argentina],0.007,0.025,-0.045,0.049,0.0,0.0,4489.0,3182.0,1.0
1|country[Australia],-0.016,0.025,-0.064,0.031,0.0,0.0,5711.0,3087.0,1.0
1|country[Brazil],-0.014,0.026,-0.06,0.035,0.0,0.0,4695.0,3186.0,1.0
1|country[Canada],-0.061,0.027,-0.11,-0.009,0.0,0.0,4257.0,2943.0,1.0
1|country[China],0.062,0.026,0.009,0.108,0.0,0.0,4442.0,2295.0,1.0
1|country[Colombia],-0.038,0.026,-0.085,0.013,0.0,0.0,3664.0,2665.0,1.0
1|country[Egypt],0.052,0.027,0.003,0.102,0.0,0.0,4034.0,2993.0,1.0
1|country[Ethiopia],-0.008,0.026,-0.057,0.039,0.0,0.0,5531.0,3016.0,1.0
1|country[France],0.007,0.026,-0.043,0.055,0.0,0.0,4274.0,3191.0,1.0
1|country[Germany],0.054,0.027,0.005,0.103,0.0,0.0,4178.0,2984.0,1.0
1|country[Ghana],-0.003,0.026,-0.051,0.045,0.0,0.0,4629.0,3296.0,1.0
1|country[Greece],0.056,0.026,0.006,0.107,0.0,0.0,3541.0,2434.0,1.0
1|country[India],-0.018,0.026,-0.065,0.034,0.0,0.0,5037.0,2966.0,1.0
1|country[Indonesia],0.017,0.025,-0.027,0.064,0.0,0.0,4556.0,3272.0,1.0
1|country[Iran],-0.029,0.026,-0.08,0.019,0.0,0.0,5342.0,3082.0,1.0
1|country[Italy],-0.019,0.026,-0.068,0.029,0.0,0.0,4900.0,3420.0,1.0
1|country[Japan],0.059,0.027,0.011,0.111,0.0,0.0,4391.0,2653.0,1.0
1|country[Kenya],0.018,0.025,-0.027,0.067,0.0,0.0,4487.0,3059.0,1.0
1|country[Mexico],0.009,0.026,-0.038,0.057,0.0,0.0,4720.0,2969.0,1.0
1|country[Morocco],-0.024,0.026,-0.072,0.025,0.0,0.0,4578.0,3047.0,1.0
1|country[Nigeria],0.041,0.026,-0.006,0.092,0.0,0.0,5454.0,3155.0,1.0
1|country[Pakistan],-0.012,0.025,-0.058,0.038,0.0,0.0,5200.0,3198.0,1.0
1|country[Philippines],-0.029,0.025,-0.077,0.015,0.0,0.0,5079.0,3412.0,1.0
1|country[Poland],0.011,0.026,-0.036,0.06,0.0,0.0,4196.0,2820.0,1.0
1|country[Russia],-0.022,0.027,-0.073,0.026,0.0,0.0,4193.0,2569.0,1.0
1|country[Saudi Arabia],-0.036,0.026,-0.084,0.014,0.0,0.0,4324.0,2704.0,1.0
1|country[South Africa],0.001,0.025,-0.043,0.051,0.0,0.0,5167.0,2986.0,1.0
1|country[South Korea],-0.004,0.025,-0.056,0.038,0.0,0.0,4419.0,3125.0,1.0
1|country[Spain],0.018,0.025,-0.029,0.066,0.0,0.0,4775.0,2822.0,1.0
1|country[Sri Lanka],-0.027,0.026,-0.076,0.022,0.0,0.0,3975.0,3061.0,1.0
1|country[Thailand],-0.04,0.026,-0.09,0.007,0.0,0.0,3661.0,2772.0,1.0
1|country[Turkey],-0.013,0.026,-0.066,0.035,0.0,0.0,3918.0,2798.0,1.0
1|country[United Arab Emirates],-0.047,0.026,-0.097,0.0,0.0,0.0,3628.0,2684.0,1.0
1|country[United States],0.036,0.025,-0.011,0.083,0.0,0.0,4298.0,2766.0,1.0
1|country[Vietnam],0.002,0.025,-0.046,0.047,0.0,0.0,4140.0,2862.0,1.0
1|narrator_role[Aunt],-0.001,0.014,-0.028,0.026,0.0,0.0,4160.0,3286.0,1.0
1|narrator_role[Cousin],0.014,0.017,-0.013,0.049,0.0,0.0,2570.0,3033.0,1.0
1|narrator_role[Family Doctor],-0.015,0.017,-0.05,0.011,0.0,0.0,2130.0,3028.0,1.0
1|narrator_role[Father],-0.001,0.015,-0.03,0.027,0.0,0.0,3860.0,3110.0,1.0
1|narrator_role[Grandfather],0.001,0.014,-0.026,0.028,0.0,0.0,3992.0,3620.0,1.0
