,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
kappa,47.2,178.914,9.137,98.708,4.588,49.11,3873.0,1940.0,1.0
Intercept,-0.883,0.295,-1.438,-0.327,0.01,0.006,818.0,1425.0,1.01
narrator_gender[male],0.269,0.116,0.065,0.502,0.002,0.002,4465.0,3288.0,1.0
narrator_gender[unspecified],0.073,0.122,-0.146,0.312,0.002,0.002,3875.0,3392.0,1.0
recipient_gender_condition[male],0.697,0.158,0.403,1.001,0.003,0.003,2656.0,2603.0,1.0
"narrator_gender:recipient_gender_condition[male, male]",0.408,0.149,0.124,0.688,0.002,0.002,4743.0,3422.0,1.0
"narrator_gender:recipient_gender_condition[unspecified, male]",0.041,0.156,-0.255,0.32,0.002,0.002,4383.0,3393.0,1.0
1|country_sigma,0.343,0.057,0.239,0.449,0.001,0.001,1628.0,2661.0,1.0
1|narrator_role_sigma,0.059,0.046,0.0,0.14,0.001,0.001,1959.0,2430.0,1.0
1|model_key_sigma,1.111,0.246,0.691,1.566,0.006,0.005,1417.0,2313.0,1.0
recipient_gender_condition|model_key_sigma[male],0.446,0.131,0.219,0.688,0.003,0.002,2095.0,2692.0,1.0
1|country[Argentina],0.139,0.173,-0.198,0.451,0.002,0.003,7655.0,3062.0,1.0
1|country[Australia],0.418,0.18,0.088,0.773,0.002,0.003,6720.0,2885.0,1.0
1|country[Brazil],-0.201,0.183,-0.54,0.14,0.002,0.003,7314.0,3049.0,1.0
1|country[Canada],0.493,0.154,0.195,0.771,0.002,0.002,4805.0,3216.0,1.0
1|country[China],0.202,0.167,-0.121,0.505,0.002,0.003,6779.0,2991.0,1.0
1|country[Colombia],-0.222,0.173,-0.54,0.097,0.002,0.003,6962.0,3455.0,1.0
1|country[Egypt],0.003,0.178,-0.344,0.321,0.002,0.003,6228.0,2952.0,1.0
1|country[Ethiopia],-0.005,0.175,-0.349,0.326,0.002,0.003,7483.0,2976.0,1.0
1|country[France],-0.435,0.205,-0.817,-0.057,0.002,0.004,7107.0,2718.0,1.0
1|country[Germany],-0.141,0.179,-0.48,0.198,0.002,0.003,6277.0,2769.0,1.0
1|country[Ghana],-0.22,0.171,-0.536,0.104,0.002,0.003,5709.0,3000.0,1.0
1|country[Greece],0.165,0.163,-0.131,0.467,0.002,0.003,6285.0,3234.0,1.0
1|country[India],-0.24,0.18,-0.573,0.098,0.002,0.003,6771.0,2947.0,1.0
1|country[Indonesia],0.194,0.166,-0.108,0.507,0.002,0.003,6898.0,3237.0,1.0
1|country[Iran],-0.394,0.192,-0.741,-0.03,0.003,0.003,5726.0,2753.0,1.0
1|country[Italy],-0.329,0.18,-0.659,0.002,0.002,0.003,6102.0,2689.0,1.0
1|country[Japan],-0.093,0.164,-0.403,0.221,0.002,0.003,7322.0,2952.0,1.0
1|country[Kenya],0.829,0.164,0.529,1.147,0.003,0.002,4105.0,3151.0,1.0
1|country[Mexico],-0.043,0.167,-0.358,0.273,0.002,0.003,7751.0,3126.0,1.0
1|country[Morocco],-0.45,0.195,-0.826,-0.09,0.002,0.003,6566.0,3195.0,1.0
1|country[Nigeria],0.128,0.163,-0.181,0.417,0.002,0.003,6370.0,2992.0,1.0
1|country[Pakistan],0.07,0.169,-0.237,0.388,0.002,0.003,7196.0,3241.0,1.0
1|country[Philippines],0.275,0.164,-0.049,0.562,0.002,0.003,6740.0,2953.0,1.0
1|country[Poland],0.032,0.183,-0.316,0.361,0.002,0.003,7689.0,2774.0,1.0
1|country[Russia],-0.071,0.186,-0.409,0.281,0.002,0.003,7325.0,2895.0,1.0
1|country[Saudi Arabia],0.057,0.167,-0.256,0.37,0.002,0.003,6058.0,2806.0,1.0
1|country[South Africa],0.371,0.162,0.069,0.676,0.002,0.002,5698.0,3403.0,1.0
1|country[South Korea],-0.161,0.162,-0.481,0.127,0.002,0.003,6261.0,3179.0,1.0
1|country[Spain],-0.341,0.179,-0.671,-0.003,0.002,0.003,5923.0,3010.0,1.0
1|country[Sri Lanka],-0.266,0.175,-0.604,0.056,0.002,0.003,6591.0,3058.0,1.0
1|country[Thailand],-0.205,0.169,-0.523,0.113,0.002,0.003,7288.0,2662.0,1.0
1|country[Turkey],-0.16,0.17,-0.479,0.161,0.002,0.003,7160.0,3166.0,1.0
1|country[United Arab Emirates],0.287,0.169,-0.035,0.603,0.002,0.003,7258.0,2969.0,1.0
1|country[United States],0.162,0.163,-0.136,0.473,0.002,0.003,5870.0,2617.0,1.0
1|country[Vietnam],0.185,0.158,-0.114,0.471,0.002,0.003,7101.0,3209.0,1.0
1|narrator_role[Aunt],-0.008,0.056,-0.128,0.097,0.001,0.001,7302.0,3301.0,1.0
1|narrator_role[Cousin],-0.004,0.061,-0.122,0.12,0.001,0.002,6355.0,2995.0,1.0
1|narrator_role[Family Doctor],-0.0,0.059,-0.123,0.116,0.001,0.001,6284.0,3381.0,1.0
