model_key,axis,RSA_posterior_mean,RSA_hdi_low,RSA_hdi_high,p_value_posterior,rope_mass,rope_verdict,RSA_bootstrap_point,RSA_bootstrap_ci_low,RSA_bootstrap_ci_high,n_countries_bootstrapped,q_value_bh,significant_after_fdr,hdi_vs_bootstrap_agree
ollama-gemma3-12b,domain,0.9283810349706884,0.4107068333173334,1.3999722487642252,0.0,0.00075,nonzero,0.17220443070891975,0.05514911253722726,0.2858447466421746,35,0.0,True,True
ollama-llama32-3b,domain,0.8695167009811341,0.4495488252526644,1.2522903733047923,0.0,0.0,nonzero,0.22102920351800304,0.10692123960572363,0.3388303177963241,35,0.0,True,True
anthropic-sonnet46,domain,0.7015966197029091,0.3744145286064884,1.04167100136385,0.0,0.0,nonzero,0.354207731839267,0.16430582119226916,0.548201983895706,35,0.0,True,True
ollama-mistral-7b,domain,0.6430072189642749,0.22511472467453125,1.0844414831015627,0.0025,0.0045,nonzero,0.15894235376836352,0.03405292408082632,0.2849447086138801,35,0.00631578947368421,True,True
ollama-llama3-70b,domain,0.47806891658669665,0.023765381666908725,0.9509835913834747,0.0445,0.03925,undecided,0.1564743452917843,0.055953291860931245,0.25631510367458754,35,0.07628571428571429,False,True
ollama-llama32-1b,domain,0.4005290227543975,-0.12118303418761464,0.9899852913810512,0.149,0.10225,undecided,0.033370911443167575,-0.06499449729986674,0.11783378157960304,35,0.20066666666666666,False,True
anthropic-haiku45,domain,0.3781048482744403,0.0735554213110971,0.6776912375965243,0.0185,0.0355,undecided,0.27374032311608737,0.1009169607212618,0.451170191348252,35,0.04228571428571428,True,True
ollama-gemma3-27b,domain,0.28049605054060317,-0.09102974034456413,0.6415966327982373,0.1235,0.1445,undecided,0.057236695624164065,-0.06254629169548562,0.1735172614597264,35,0.17963636363636362,False,True
ollama-gptoss-20b,domain,0.2611352079100145,-0.3548171177899456,0.8643990090627154,0.392,0.17525,undecided,0.086897046518439,-0.04267738383790457,0.20895554354142357,35,0.44800000000000006,False,True
openai-gpt41,domain,0.22436229095270424,-0.2102479698397248,0.6969757488274606,0.333,0.20575,undecided,0.06855452485487855,-0.058214686985815285,0.20363671434358957,35,0.39960000000000007,False,True
ollama-gemma2-2b,domain,0.19792671007251023,-0.21382345162131156,0.6471757621283658,0.3795,0.22875,undecided,0.1891456915908378,0.0550889931520998,0.31591067964673825,35,0.4442926829268293,False,False
ollama-qwen25-7b,domain,0.1687704486827252,-0.25873937545034126,0.5454119904182813,0.404,0.26675,undecided,0.07009374349706518,-0.03625717354578437,0.17476405034781484,35,0.44890909090909087,False,True
ollama-qwen25-3b,domain,0.1664411558880631,-0.2148126948466637,0.5571837488958746,0.4115,0.2695,undecided,0.05772472045354178,-0.04042184212549451,0.15362557326433626,35,0.44890909090909087,False,True
ollama-mistral-nemo,domain,0.1297630706910083,-0.3457491908371947,0.5447310609947238,0.566,0.28225,undecided,-0.0103543471423408,-0.12966922279863982,0.10700325262539488,35,0.6031304347826086,False,True
ollama-llama31-8b,domain,0.014488015940848236,-0.41445181533837283,0.4154530464993795,0.9335,0.343,undecided,0.03807842163800019,-0.064655722101153,0.13945497105953453,35,0.9335,False,True
openai-gpt4o,domain,-0.08152115833025349,-0.695753034685076,0.45058336773326535,0.804,0.26275,undecided,0.17696038296519734,0.03950204291335655,0.3180352605762236,35,0.8211063829787234,False,False
anthropic-sonnet46,role,0.3404652425156553,0.25896264118654483,0.4308555878510417,0.0,0.0,nonzero,0.3847270233931471,0.26964137256000054,0.5030411455893071,35,0.0,True,True
ollama-llama3-70b,role,0.2865857866519906,0.20949646608455164,0.3574519190834964,0.0,0.0,nonzero,0.3421881069257051,0.2639950117588344,0.42143744002093403,35,0.0,True,True
ollama-gptoss-20b,role,0.23144045705993765,0.13863805282046007,0.3329621008907583,0.0,0.0015,nonzero,0.32427817371731943,0.19175327057776592,0.45700991461980667,35,0.0,True,True
ollama-gemma3-27b,role,0.20386412953157707,0.1270989590494413,0.27774091632403525,0.0,0.00375,nonzero,0.24705427030030735,0.16435238222584558,0.3376717948841178,35,0.0,True,True
ollama-llama32-3b,role,0.20040396912033095,0.12825611794626038,0.2811099299912674,0.0,0.0045,nonzero,0.23171204200907977,0.1627063905300965,0.2903335944975599,35,0.0,True,True
ollama-llama31-8b,role,0.19925482629785682,0.12199444233509651,0.27447314250240584,0.0,0.008,nonzero,0.2493107747686418,0.172317543087161,0.32589860877621196,35,0.0,True,True
ollama-qwen25-7b,role,0.16930407669086375,0.09377527342830722,0.24680304314426957,0.0,0.03725,undecided,0.2066038101180224,0.09968971626989483,0.30341253374777966,35,0.0,True,True
ollama-gemma3-12b,role,0.14615553087116273,0.0745229620342869,0.22632570586461262,0.0,0.1255,undecided,0.16143238105151048,0.08530062406593883,0.2380006414309799,35,0.0,True,True
ollama-mistral-nemo,role,0.13913529062705374,0.06539632242680361,0.21402893159505654,0.0005,0.16225,undecided,0.17034364316157186,0.07920781652347168,0.25991065018976456,35,0.001411764705882353,True,True
anthropic-haiku45,role,0.1284615503308827,0.05028190099385396,0.2032507460285215,0.0015,0.22775,undecided,0.13911424754391435,0.03972082960262941,0.2418035441802704,35,0.004,True,True
ollama-llama32-1b,role,0.09664091583729573,-0.029526426220010366,0.23932052267600587,0.1505,0.51125,undecided,0.1049888512504812,-0.00544833523528948,0.20143146812979118,35,0.20066666666666666,False,True
openai-gpt41,role,0.09045695577404425,0.015800494217369593,0.1722657033526872,0.0255,0.5935,undecided,0.10868143514677887,0.03656134376642243,0.18066082236684802,35,0.054720000000000005,False,True
openai-gpt4o,role,0.08317174063787287,0.003361408851791259,0.15983164606084596,0.042,0.66225,undecided,0.10881375977335749,0.02952095351421887,0.1918080328995427,35,0.07466666666666667,False,True
ollama-mistral-7b,role,0.04731539426981072,-0.024807710472922656,0.12857051461025376,0.233,0.90525,undecided,0.05568149223942779,-0.05861346422516417,0.16135870518122677,35,0.29431578947368425,False,True
ollama-qwen25-3b,role,0.046467299023391286,-0.029461905913486075,0.12558349450110112,0.2535,0.90975,undecided,0.05320615056277229,-0.024991517728778775,0.13482059911454508,35,0.312,False,True
ollama-gemma2-2b,role,0.023002103388812613,-0.05664250944175385,0.10381642018080348,0.578,0.96775,undecided,0.04186046658815335,-0.04233296928645944,0.13153561690159302,35,0.6031304347826086,False,True
anthropic-sonnet46,trait,1.4911604550575797,0.971839986235297,2.07685474962879,0.0,0.0,nonzero,0.4346011551816011,0.341321912311048,0.5344576623191954,35,0.0,True,True
anthropic-haiku45,trait,1.2600761097308397,0.8017903780843968,1.6727850251398417,0.0,0.0,nonzero,0.36228615254692903,0.2843331857428866,0.44158033960888543,35,0.0,True,True
ollama-llama32-3b,trait,0.9715009511243627,0.45274104882807725,1.4813446496629825,0.0005,0.00025,nonzero,0.14753416551249568,0.06577500485750185,0.22381043642808698,35,0.001411764705882353,True,True
ollama-gemma3-12b,trait,0.9610501219631062,0.5638195857248723,1.344215133778039,0.0,0.0,nonzero,0.39256774743889605,0.2728009354605056,0.5018901568562381,35,0.0,True,True
ollama-llama32-1b,trait,0.7159886448605012,-0.1898128347578023,1.6149882792081383,0.1075,0.04475,undecided,0.0035418097313904425,-0.027978944130885232,0.034817028510937945,35,0.1664516129032258,False,True
ollama-gemma3-27b,trait,0.7058762974277507,0.4107180190588068,1.0007561477632687,0.0,0.0,nonzero,0.3775555597714761,0.2324858146465582,0.5014157024051816,35,0.0,True,True
ollama-gptoss-20b,trait,0.656010346684472,0.09945484565730361,1.2330103818659541,0.0275,0.02025,undecided,0.15756905047824774,0.08769032943315289,0.2288368544724914,35,0.054720000000000005,False,True
openai-gpt4o,trait,0.640696540295332,0.08150694934055291,1.2210585457305065,0.0285,0.025,undecided,0.07409058958143051,0.017734657815958663,0.13409985681672684,35,0.054720000000000005,False,True
ollama-llama31-8b,trait,0.5410419692205696,0.11952169742468965,0.9489459297473639,0.0125,0.01625,nonzero,0.13645330753593019,0.04448087130174221,0.2369086943568392,35,0.030000000000000006,True,True
