model_key,family,test_key,test_short,layer,layer_idx,d,p,sig,n_X,n_Y,n_A,n_B
openai-gpt4o,gpt,A_career_family,Career/Family,api,9999,1.387558,0.0,***,25,19,18,16
openai-gpt4o,gpt,B_agentic_communal,Agentic/Communal,api,9999,0.681799,0.0042,**,25,35,18,16
openai-gpt4o,gpt,C_traits,Masc/Fem Traits,api,9999,1.2447703,0.0002,***,9,10,18,16
openai-gpt41,gpt,A_career_family,Career/Family,api,9999,1.3875477,0.0,***,25,19,18,16
openai-gpt41,gpt,B_agentic_communal,Agentic/Communal,api,9999,0.68181044,0.0042,**,25,35,18,16
openai-gpt41,gpt,C_traits,Masc/Fem Traits,api,9999,1.2457672,0.0002,***,9,10,18,16
openai-gpt55,gpt,A_career_family,Career/Family,api,9999,1.3875917,0.0,***,25,19,18,16
openai-gpt55,gpt,B_agentic_communal,Agentic/Communal,api,9999,0.6817478,0.0042,**,25,35,18,16
openai-gpt55,gpt,C_traits,Masc/Fem Traits,api,9999,1.2458076,0.0002,***,9,10,18,16
anthropic-haiku45,claude,A_career_family,Career/Family,api,9999,1.1863101720809937,0.0,***,25,19,18,16
anthropic-haiku45,claude,B_agentic_communal,Agentic/Communal,api,9999,-0.005190182942897,0.5106,,25,35,18,16
anthropic-haiku45,claude,C_traits,Masc/Fem Traits,api,9999,0.7180975675582886,0.0488,*,9,10,18,16
anthropic-sonnet46,claude,A_career_family,Career/Family,api,9999,1.1863101720809937,0.0,***,25,19,18,16
anthropic-sonnet46,claude,B_agentic_communal,Agentic/Communal,api,9999,-0.005190182942897,0.5106,,25,35,18,16
anthropic-sonnet46,claude,C_traits,Masc/Fem Traits,api,9999,0.7180975675582886,0.0488,*,9,10,18,16
ollama-llama32-1b,llama,A_career_family,Career/Family,embedding,0,-0.5852469205856323,0.9722,,25,19,18,16
ollama-llama32-1b,llama,B_agentic_communal,Agentic/Communal,embedding,0,-0.1267802119255066,0.6828,,25,35,18,16
ollama-llama32-1b,llama,C_traits,Masc/Fem Traits,embedding,0,-0.1911318302154541,0.6516,,9,10,18,16
ollama-llama32-1b,llama,A_career_family,Career/Family,final,16,-0.1373649388551712,0.6784,,25,19,18,16
ollama-llama32-1b,llama,B_agentic_communal,Agentic/Communal,final,16,-0.2786279022693634,0.855,,25,35,18,16
ollama-llama32-1b,llama,C_traits,Masc/Fem Traits,final,16,0.5641104578971863,0.123,,9,10,18,16
ollama-llama32-3b,llama,A_career_family,Career/Family,embedding,0,-0.5841758251190186,0.9726,,25,19,18,16
ollama-llama32-3b,llama,B_agentic_communal,Agentic/Communal,embedding,0,-0.1532790660858154,0.7118,,25,35,18,16
ollama-llama32-3b,llama,C_traits,Masc/Fem Traits,embedding,0,-0.0202863458544015,0.524,,9,10,18,16
ollama-llama32-3b,llama,A_career_family,Career/Family,final,28,-0.1864937096834182,0.7302,,25,19,18,16
ollama-llama32-3b,llama,B_agentic_communal,Agentic/Communal,final,28,-0.1975333094596862,0.7752,,25,35,18,16
ollama-llama32-3b,llama,C_traits,Masc/Fem Traits,final,28,0.1935115605592727,0.348,,9,10,18,16
ollama-llama31-8b,llama,A_career_family,Career/Family,embedding,0,-0.348060131072998,0.8714,,25,19,18,16
ollama-llama31-8b,llama,B_agentic_communal,Agentic/Communal,embedding,0,-0.287717342376709,0.8646,,25,35,18,16
ollama-llama31-8b,llama,C_traits,Masc/Fem Traits,embedding,0,0.2396530359983444,0.3232,,9,10,18,16
ollama-llama31-8b,llama,A_career_family,Career/Family,final,32,0.2562686204910278,0.2114,,25,19,18,16
ollama-llama31-8b,llama,B_agentic_communal,Agentic/Communal,final,32,0.0150316776707768,0.4852,,25,35,18,16
ollama-llama31-8b,llama,C_traits,Masc/Fem Traits,final,32,0.9690495133399964,0.017,*,9,10,18,16
ollama-mistral-7b,mistral,A_career_family,Career/Family,embedding,0,0.6976574063301086,0.0078,**,25,19,18,16
ollama-mistral-7b,mistral,B_agentic_communal,Agentic/Communal,embedding,0,-0.0857286974787712,0.6376,,25,35,18,16
ollama-mistral-7b,mistral,C_traits,Masc/Fem Traits,embedding,0,0.6663659811019897,0.0482,*,9,10,18,16
ollama-mistral-7b,mistral,A_career_family,Career/Family,final,32,-0.2641763091087341,0.7982,,25,19,18,16
ollama-mistral-7b,mistral,B_agentic_communal,Agentic/Communal,final,32,-0.2440806031227111,0.8214,,25,35,18,16
ollama-mistral-7b,mistral,C_traits,Masc/Fem Traits,final,32,-0.5968478918075562,0.901,,9,10,18,16
ollama-mistral-nemo,mistral,A_career_family,Career/Family,embedding,0,0.229115679860115,0.2314,,25,19,18,16
ollama-mistral-nemo,mistral,B_agentic_communal,Agentic/Communal,embedding,0,-0.1206684634089469,0.6822,,25,35,18,16
ollama-mistral-nemo,mistral,C_traits,Masc/Fem Traits,embedding,0,0.5689963102340698,0.1314,,9,10,18,16
ollama-mistral-nemo,mistral,A_career_family,Career/Family,final,40,0.5495594143867493,0.041,*,25,19,18,16
ollama-mistral-nemo,mistral,B_agentic_communal,Agentic/Communal,final,40,0.5510714650154114,0.0232,*,25,35,18,16
ollama-mistral-nemo,mistral,C_traits,Masc/Fem Traits,final,40,0.2137170284986496,0.3438,,9,10,18,16
ollama-qwen25-3b,qwen,A_career_family,Career/Family,embedding,0,-0.5866730213165283,0.975,,25,19,18,16
ollama-qwen25-3b,qwen,B_agentic_communal,Agentic/Communal,embedding,0,-0.2230596095323562,0.794,,25,35,18,16
ollama-qwen25-3b,qwen,C_traits,Masc/Fem Traits,embedding,0,0.1525143831968307,0.3878,,9,10,18,16
ollama-qwen25-3b,qwen,A_career_family,Career/Family,final,36,-0.0548314079642295,0.5674,,25,19,18,16
ollama-qwen25-3b,qwen,B_agentic_communal,Agentic/Communal,final,36,0.4226130843162536,0.0566,,25,35,18,16
ollama-qwen25-3b,qwen,C_traits,Masc/Fem Traits,final,36,0.6569013595581055,0.0844,,9,10,18,16
ollama-qwen25-7b,qwen,A_career_family,Career/Family,embedding,0,-0.4741861224174499,0.9352,,25,19,18,16
