model_key,test_key,layer,word,set,score
ollama-gemma3-12b,A_career_family,embedding,business,X,-0.004457488656044006
ollama-gemma3-12b,A_career_family,embedding,career,X,-0.00857439637184143
ollama-gemma3-12b,A_career_family,embedding,company,X,-0.00871770828962326
ollama-gemma3-12b,A_career_family,embedding,corporate,X,-0.00647696852684021
ollama-gemma3-12b,A_career_family,embedding,employed,X,-0.008318204432725906
ollama-gemma3-12b,A_career_family,embedding,engineer,X,-0.01459696888923645
ollama-gemma3-12b,A_career_family,embedding,entrepreneur,X,-0.001365073025226593
ollama-gemma3-12b,A_career_family,embedding,executive,X,-0.007837407290935516
ollama-gemma3-12b,A_career_family,embedding,industry,X,-0.001591712236404419
ollama-gemma3-12b,A_career_family,embedding,invention,X,-0.010315626859664917
ollama-gemma3-12b,A_career_family,embedding,job,X,0.00026107579469680786
ollama-gemma3-12b,A_career_family,embedding,lawyer,X,0.005573689937591553
ollama-gemma3-12b,A_career_family,embedding,management,X,-0.0011326447129249573
ollama-gemma3-12b,A_career_family,embedding,manager,X,-0.0015776604413986206
ollama-gemma3-12b,A_career_family,embedding,occupation,X,-0.007535666227340698
ollama-gemma3-12b,A_career_family,embedding,office,X,-0.010420754551887512
ollama-gemma3-12b,A_career_family,embedding,position,X,-0.0045782774686813354
ollama-gemma3-12b,A_career_family,embedding,profession,X,-0.003725588321685791
ollama-gemma3-12b,A_career_family,embedding,professional,X,-0.0010684728622436523
ollama-gemma3-12b,A_career_family,embedding,promotion,X,-0.0032949671149253845
ollama-gemma3-12b,A_career_family,embedding,research,X,-0.010197438299655914
ollama-gemma3-12b,A_career_family,embedding,salary,X,-0.00651126354932785
ollama-gemma3-12b,A_career_family,embedding,scientist,X,-0.013232924044132233
ollama-gemma3-12b,A_career_family,embedding,technology,X,-0.0035823211073875427
ollama-gemma3-12b,A_career_family,embedding,work,X,0.0007676184177398682
ollama-gemma3-12b,A_career_family,embedding,ancestor,Y,0.0034740716218948364
ollama-gemma3-12b,A_career_family,embedding,baby,Y,-0.023739635944366455
ollama-gemma3-12b,A_career_family,embedding,babysit,Y,0.010641664266586304
ollama-gemma3-12b,A_career_family,embedding,caregiver,Y,-0.007237881422042847
ollama-gemma3-12b,A_career_family,embedding,chore,Y,0.001655586063861847
ollama-gemma3-12b,A_career_family,embedding,cook,Y,-0.001769423484802246
