model_key,test_key,layer,word,set,score
ollama-llama32-3b,A_career_family,embedding,business,X,-0.020213454961776733
ollama-llama32-3b,A_career_family,embedding,career,X,-0.029559582471847534
ollama-llama32-3b,A_career_family,embedding,company,X,-0.02862831950187683
ollama-llama32-3b,A_career_family,embedding,corporate,X,-0.010901875793933868
ollama-llama32-3b,A_career_family,embedding,employed,X,-0.028071843087673187
ollama-llama32-3b,A_career_family,embedding,engineer,X,-0.008128196001052856
ollama-llama32-3b,A_career_family,embedding,entrepreneur,X,-0.017180629074573517
ollama-llama32-3b,A_career_family,embedding,executive,X,-0.016990602016448975
ollama-llama32-3b,A_career_family,embedding,industry,X,-0.026099756360054016
ollama-llama32-3b,A_career_family,embedding,invention,X,-8.209049701690674e-05
ollama-llama32-3b,A_career_family,embedding,job,X,-0.011752679944038391
ollama-llama32-3b,A_career_family,embedding,lawyer,X,-0.010122880339622498
ollama-llama32-3b,A_career_family,embedding,management,X,-0.011588998138904572
ollama-llama32-3b,A_career_family,embedding,manager,X,-0.012262240052223206
ollama-llama32-3b,A_career_family,embedding,occupation,X,-0.02513628453016281
ollama-llama32-3b,A_career_family,embedding,office,X,-0.018790170550346375
ollama-llama32-3b,A_career_family,embedding,position,X,-0.008117765188217163
ollama-llama32-3b,A_career_family,embedding,profession,X,-0.01562681794166565
ollama-llama32-3b,A_career_family,embedding,professional,X,-0.007517412304878235
ollama-llama32-3b,A_career_family,embedding,promotion,X,-0.028368689119815826
ollama-llama32-3b,A_career_family,embedding,research,X,-0.01917504519224167
ollama-llama32-3b,A_career_family,embedding,salary,X,-0.039126038551330566
ollama-llama32-3b,A_career_family,embedding,scientist,X,-0.011922284960746765
ollama-llama32-3b,A_career_family,embedding,technology,X,-0.02132909744977951
ollama-llama32-3b,A_career_family,embedding,work,X,-0.004136711359024048
ollama-llama32-3b,A_career_family,embedding,ancestor,Y,-0.02128143608570099
ollama-llama32-3b,A_career_family,embedding,baby,Y,-0.03383047878742218
ollama-llama32-3b,A_career_family,embedding,babysit,Y,0.007250674068927765
ollama-llama32-3b,A_career_family,embedding,caregiver,Y,-0.005912885069847107
ollama-llama32-3b,A_career_family,embedding,chore,Y,0.02246483787894249
ollama-llama32-3b,A_career_family,embedding,cook,Y,-0.023389287292957306
ollama-llama32-3b,A_career_family,embedding,domestic,Y,-0.012885622680187225
ollama-llama32-3b,A_career_family,embedding,family,Y,-0.022274255752563477
ollama-llama32-3b,A_career_family,embedding,grandchild,Y,-0.015188649296760559
ollama-llama32-3b,A_career_family,embedding,hearth,Y,0.03742338716983795
ollama-llama32-3b,A_career_family,embedding,home,Y,-0.01226804405450821
ollama-llama32-3b,A_career_family,embedding,household,Y,-0.005330592393875122
ollama-llama32-3b,A_career_family,embedding,kitchen,Y,-0.015329942107200623
ollama-llama32-3b,A_career_family,embedding,marriage,Y,-0.01120496541261673
ollama-llama32-3b,A_career_family,embedding,parent,Y,-0.017897501587867737
ollama-llama32-3b,A_career_family,embedding,relative,Y,-0.017091885209083557
ollama-llama32-3b,A_career_family,embedding,sibling,Y,-0.017733246088027954
ollama-llama32-3b,A_career_family,embedding,tradition,Y,-0.006403885781764984
ollama-llama32-3b,A_career_family,embedding,wedding,Y,-0.010030701756477356
ollama-llama32-3b,B_agentic_communal,embedding,accomplish,X,-0.002016313374042511
ollama-llama32-3b,B_agentic_communal,embedding,ambitious,X,-0.01760077476501465
ollama-llama32-3b,B_agentic_communal,embedding,assertive,X,-0.010470673441886902
ollama-llama32-3b,B_agentic_communal,embedding,bold,X,0.005037486553192139
