model_key,test_key,layer,word,set,score
ollama-mistral-7b,A_career_family,embedding,business,X,-0.0005112439393997192
ollama-mistral-7b,A_career_family,embedding,career,X,-0.007584907114505768
ollama-mistral-7b,A_career_family,embedding,company,X,-0.008078411221504211
ollama-mistral-7b,A_career_family,embedding,corporate,X,-0.005605902522802353
ollama-mistral-7b,A_career_family,embedding,employed,X,0.00857958197593689
ollama-mistral-7b,A_career_family,embedding,engineer,X,-0.0011002123355865479
ollama-mistral-7b,A_career_family,embedding,entrepreneur,X,0.005331113934516907
ollama-mistral-7b,A_career_family,embedding,executive,X,-0.003458872437477112
ollama-mistral-7b,A_career_family,embedding,industry,X,-0.00035727769136428833
ollama-mistral-7b,A_career_family,embedding,invention,X,0.004617348313331604
ollama-mistral-7b,A_career_family,embedding,job,X,0.004092562943696976
ollama-mistral-7b,A_career_family,embedding,lawyer,X,-0.0015036389231681824
ollama-mistral-7b,A_career_family,embedding,management,X,0.0005243048071861267
ollama-mistral-7b,A_career_family,embedding,manager,X,0.0049644336104393005
ollama-mistral-7b,A_career_family,embedding,occupation,X,0.0008707456290721893
ollama-mistral-7b,A_career_family,embedding,office,X,-0.007187496870756149
ollama-mistral-7b,A_career_family,embedding,position,X,0.005964457988739014
ollama-mistral-7b,A_career_family,embedding,profession,X,-0.013945456594228745
ollama-mistral-7b,A_career_family,embedding,professional,X,-0.0060983821749687195
ollama-mistral-7b,A_career_family,embedding,promotion,X,-0.0036908872425556183
ollama-mistral-7b,A_career_family,embedding,research,X,0.003396298736333847
ollama-mistral-7b,A_career_family,embedding,salary,X,-0.008347604423761368
ollama-mistral-7b,A_career_family,embedding,scientist,X,-0.00831110030412674
ollama-mistral-7b,A_career_family,embedding,technology,X,0.003260403871536255
ollama-mistral-7b,A_career_family,embedding,work,X,0.0073932744562625885
ollama-mistral-7b,A_career_family,embedding,ancestor,Y,-0.006715711206197739
ollama-mistral-7b,A_career_family,embedding,baby,Y,-0.016288436949253082
ollama-mistral-7b,A_career_family,embedding,babysit,Y,-0.003929421305656433
ollama-mistral-7b,A_career_family,embedding,caregiver,Y,-0.002094905823469162
ollama-mistral-7b,A_career_family,embedding,chore,Y,-0.004244904965162277
ollama-mistral-7b,A_career_family,embedding,cook,Y,0.001214396208524704
ollama-mistral-7b,A_career_family,embedding,domestic,Y,-0.014315064996480942
ollama-mistral-7b,A_career_family,embedding,family,Y,-0.018881015479564667
ollama-mistral-7b,A_career_family,embedding,grandchild,Y,-0.016833417117595673
ollama-mistral-7b,A_career_family,embedding,hearth,Y,0.03858977556228638
ollama-mistral-7b,A_career_family,embedding,home,Y,-0.02007981389760971
ollama-mistral-7b,A_career_family,embedding,household,Y,-0.00691569596529007
ollama-mistral-7b,A_career_family,embedding,kitchen,Y,-0.018156960606575012
ollama-mistral-7b,A_career_family,embedding,marriage,Y,-0.011793412268161774
ollama-mistral-7b,A_career_family,embedding,parent,Y,-0.023952104151248932
ollama-mistral-7b,A_career_family,embedding,relative,Y,-0.007685530930757523
ollama-mistral-7b,A_career_family,embedding,sibling,Y,-0.008648805320262909
ollama-mistral-7b,A_career_family,embedding,tradition,Y,-0.00045454874634742737
ollama-mistral-7b,A_career_family,embedding,wedding,Y,-0.015860620886087418
ollama-mistral-7b,B_agentic_communal,embedding,accomplish,X,-0.007536070421338081
ollama-mistral-7b,B_agentic_communal,embedding,ambitious,X,-0.0027889814227819443
ollama-mistral-7b,B_agentic_communal,embedding,assertive,X,-0.006391305476427078
ollama-mistral-7b,B_agentic_communal,embedding,bold,X,-0.003988802433013916
ollama-mistral-7b,B_agentic_communal,embedding,brave,X,0.009961910545825958
ollama-mistral-7b,B_agentic_communal,embedding,competitive,X,0.0024925414472818375
ollama-mistral-7b,B_agentic_communal,embedding,confident,X,0.010383415967226028
ollama-mistral-7b,B_agentic_communal,embedding,courageous,X,-0.006290990859270096
ollama-mistral-7b,B_agentic_communal,embedding,decisive,X,-0.0048096999526023865
ollama-mistral-7b,B_agentic_communal,embedding,determined,X,-0.002360129728913307
ollama-mistral-7b,B_agentic_communal,embedding,dominant,X,-0.008976869285106659
ollama-mistral-7b,B_agentic_communal,embedding,driven,X,-0.013280466198921204
