model_key,test_key,layer,word,set,score
ollama-mistral-nemo,A_career_family,embedding,business,X,0.0010429956018924713
ollama-mistral-nemo,A_career_family,embedding,career,X,-0.022267766296863556
ollama-mistral-nemo,A_career_family,embedding,company,X,-0.00142582505941391
ollama-mistral-nemo,A_career_family,embedding,corporate,X,0.003361821174621582
ollama-mistral-nemo,A_career_family,embedding,employed,X,-0.01618456095457077
ollama-mistral-nemo,A_career_family,embedding,engineer,X,-0.022681869566440582
ollama-mistral-nemo,A_career_family,embedding,entrepreneur,X,0.00938311219215393
ollama-mistral-nemo,A_career_family,embedding,executive,X,-0.0077736154198646545
ollama-mistral-nemo,A_career_family,embedding,industry,X,0.004000440239906311
ollama-mistral-nemo,A_career_family,embedding,invention,X,-0.00940791517496109
ollama-mistral-nemo,A_career_family,embedding,job,X,-0.0019514039158821106
ollama-mistral-nemo,A_career_family,embedding,lawyer,X,0.006940498948097229
ollama-mistral-nemo,A_career_family,embedding,management,X,-0.004176784306764603
ollama-mistral-nemo,A_career_family,embedding,manager,X,0.0004616454243659973
ollama-mistral-nemo,A_career_family,embedding,occupation,X,0.0006341077387332916
ollama-mistral-nemo,A_career_family,embedding,office,X,-0.0006751716136932373
ollama-mistral-nemo,A_career_family,embedding,position,X,-0.00583295151591301
ollama-mistral-nemo,A_career_family,embedding,profession,X,-0.0005665980279445648
ollama-mistral-nemo,A_career_family,embedding,professional,X,-0.00754290446639061
ollama-mistral-nemo,A_career_family,embedding,promotion,X,0.0001336894929409027
ollama-mistral-nemo,A_career_family,embedding,research,X,-0.01281696930527687
ollama-mistral-nemo,A_career_family,embedding,salary,X,-0.010527994483709335
ollama-mistral-nemo,A_career_family,embedding,scientist,X,-0.011522360146045685
ollama-mistral-nemo,A_career_family,embedding,technology,X,-0.004595231264829636
ollama-mistral-nemo,A_career_family,embedding,work,X,-0.002768106758594513
ollama-mistral-nemo,A_career_family,embedding,ancestor,Y,-0.007160834968090057
ollama-mistral-nemo,A_career_family,embedding,baby,Y,-0.015696875751018524
ollama-mistral-nemo,A_career_family,embedding,babysit,Y,-0.00621410459280014
ollama-mistral-nemo,A_career_family,embedding,caregiver,Y,-0.013369254767894745
ollama-mistral-nemo,A_career_family,embedding,chore,Y,-0.011464335024356842
ollama-mistral-nemo,A_career_family,embedding,cook,Y,-0.0021724700927734375
ollama-mistral-nemo,A_career_family,embedding,domestic,Y,0.0014282464981079102
ollama-mistral-nemo,A_career_family,embedding,family,Y,-0.011125437915325165
ollama-mistral-nemo,A_career_family,embedding,grandchild,Y,0.0005271062254905701
ollama-mistral-nemo,A_career_family,embedding,hearth,Y,0.014203943312168121
ollama-mistral-nemo,A_career_family,embedding,home,Y,-0.0005072727799415588
ollama-mistral-nemo,A_career_family,embedding,household,Y,-0.0027316659688949585
ollama-mistral-nemo,A_career_family,embedding,kitchen,Y,-0.012424930930137634
ollama-mistral-nemo,A_career_family,embedding,marriage,Y,-0.001540347933769226
ollama-mistral-nemo,A_career_family,embedding,parent,Y,-0.005145285278558731
