model_key,test_key,layer,word,set,score
ollama-qwen25-7b,A_career_family,embedding,business,X,0.004914335906505585
ollama-qwen25-7b,A_career_family,embedding,career,X,-0.00981518067419529
ollama-qwen25-7b,A_career_family,embedding,company,X,-0.0047628432512283325
ollama-qwen25-7b,A_career_family,embedding,corporate,X,0.0021653100848197937
ollama-qwen25-7b,A_career_family,embedding,employed,X,-0.014083055779337883
ollama-qwen25-7b,A_career_family,embedding,engineer,X,-0.006706856191158295
ollama-qwen25-7b,A_career_family,embedding,entrepreneur,X,-0.01379329338669777
ollama-qwen25-7b,A_career_family,embedding,executive,X,0.0006238631904125214
ollama-qwen25-7b,A_career_family,embedding,industry,X,0.0039627160876989365
ollama-qwen25-7b,A_career_family,embedding,invention,X,-0.0026632100343704224
ollama-qwen25-7b,A_career_family,embedding,job,X,0.017309989780187607
ollama-qwen25-7b,A_career_family,embedding,lawyer,X,0.01908782869577408
ollama-qwen25-7b,A_career_family,embedding,management,X,-0.010713022202253342
ollama-qwen25-7b,A_career_family,embedding,manager,X,0.0024013668298721313
ollama-qwen25-7b,A_career_family,embedding,occupation,X,-0.013512751087546349
ollama-qwen25-7b,A_career_family,embedding,office,X,-0.005013234913349152
ollama-qwen25-7b,A_career_family,embedding,position,X,0.020007893443107605
ollama-qwen25-7b,A_career_family,embedding,profession,X,-0.01557191926985979
ollama-qwen25-7b,A_career_family,embedding,professional,X,-0.015496790409088135
ollama-qwen25-7b,A_career_family,embedding,promotion,X,-0.005585577338933945
ollama-qwen25-7b,A_career_family,embedding,research,X,0.0012853872030973434
ollama-qwen25-7b,A_career_family,embedding,salary,X,-0.012681836262345314
ollama-qwen25-7b,A_career_family,embedding,scientist,X,0.018771611154079437
ollama-qwen25-7b,A_career_family,embedding,technology,X,0.011131953448057175
ollama-qwen25-7b,A_career_family,embedding,work,X,0.014999635517597198
ollama-qwen25-7b,A_career_family,embedding,ancestor,Y,-8.22264701128006e-05
ollama-qwen25-7b,A_career_family,embedding,baby,Y,-0.034878648817539215
ollama-qwen25-7b,A_career_family,embedding,babysit,Y,0.025964029133319855
ollama-qwen25-7b,A_career_family,embedding,caregiver,Y,0.006821528077125549
ollama-qwen25-7b,A_career_family,embedding,chore,Y,0.017552420496940613
ollama-qwen25-7b,A_career_family,embedding,cook,Y,-0.00372946634888649
ollama-qwen25-7b,A_career_family,embedding,domestic,Y,0.009602479636669159
ollama-qwen25-7b,A_career_family,embedding,family,Y,-0.009901188313961029
ollama-qwen25-7b,A_career_family,embedding,grandchild,Y,0.010439768433570862
ollama-qwen25-7b,A_career_family,embedding,hearth,Y,0.053586140275001526
ollama-qwen25-7b,A_career_family,embedding,home,Y,0.005456596612930298
ollama-qwen25-7b,A_career_family,embedding,household,Y,0.020072460174560547
ollama-qwen25-7b,A_career_family,embedding,kitchen,Y,-0.016658194363117218
ollama-qwen25-7b,A_career_family,embedding,marriage,Y,0.022503547370433807
ollama-qwen25-7b,A_career_family,embedding,parent,Y,-0.00013518333435058594
ollama-qwen25-7b,A_career_family,embedding,relative,Y,-0.005742207169532776
ollama-qwen25-7b,A_career_family,embedding,sibling,Y,-0.013470858335494995
ollama-qwen25-7b,A_career_family,embedding,tradition,Y,0.023452207446098328
ollama-qwen25-7b,A_career_family,embedding,wedding,Y,0.02044215053319931
ollama-qwen25-7b,B_agentic_communal,embedding,accomplish,X,0.031963594257831573
ollama-qwen25-7b,B_agentic_communal,embedding,ambitious,X,0.00404936820268631
ollama-qwen25-7b,B_agentic_communal,embedding,assertive,X,0.006385214626789093
ollama-qwen25-7b,B_agentic_communal,embedding,bold,X,0.020313147455453873
ollama-qwen25-7b,B_agentic_communal,embedding,brave,X,0.02481091022491455
ollama-qwen25-7b,B_agentic_communal,embedding,competitive,X,-0.0058453623205423355
