model_key,test_key,layer,word,set,score
openai-gpt4o,A_career_family,api,business,X,0.0026469528675079346
openai-gpt4o,A_career_family,api,career,X,-0.017567843198776245
openai-gpt4o,A_career_family,api,company,X,-0.00625920295715332
openai-gpt4o,A_career_family,api,corporate,X,0.0032573342323303223
openai-gpt4o,A_career_family,api,employed,X,0.008450806140899658
openai-gpt4o,A_career_family,api,engineer,X,0.03986206650733948
openai-gpt4o,A_career_family,api,entrepreneur,X,0.01070345938205719
openai-gpt4o,A_career_family,api,executive,X,0.024438172578811646
openai-gpt4o,A_career_family,api,industry,X,-0.015231207013130188
openai-gpt4o,A_career_family,api,invention,X,0.0017410218715667725
openai-gpt4o,A_career_family,api,job,X,-0.000682532787322998
openai-gpt4o,A_career_family,api,lawyer,X,0.026150673627853394
openai-gpt4o,A_career_family,api,management,X,0.026950016617774963
openai-gpt4o,A_career_family,api,manager,X,0.04146921634674072
openai-gpt4o,A_career_family,api,occupation,X,0.011416181921958923
openai-gpt4o,A_career_family,api,office,X,0.004738658666610718
openai-gpt4o,A_career_family,api,position,X,0.008871108293533325
openai-gpt4o,A_career_family,api,profession,X,-0.005944788455963135
openai-gpt4o,A_career_family,api,professional,X,0.00638270378112793
openai-gpt4o,A_career_family,api,promotion,X,0.001001983880996704
openai-gpt4o,A_career_family,api,research,X,-0.0125245600938797
openai-gpt4o,A_career_family,api,salary,X,0.004590928554534912
openai-gpt4o,A_career_family,api,scientist,X,0.011788606643676758
openai-gpt4o,A_career_family,api,technology,X,0.0075914859771728516
openai-gpt4o,A_career_family,api,work,X,-0.004559993743896484
openai-gpt4o,A_career_family,api,ancestor,Y,0.01238301396369934
openai-gpt4o,A_career_family,api,baby,Y,-0.03450527787208557
openai-gpt4o,A_career_family,api,babysit,Y,-0.02886076271533966
openai-gpt4o,A_career_family,api,caregiver,Y,-0.01861107349395752
openai-gpt4o,A_career_family,api,chore,Y,-0.016008347272872925
openai-gpt4o,A_career_family,api,cook,Y,-0.004487961530685425
openai-gpt4o,A_career_family,api,domestic,Y,-0.008732914924621582
openai-gpt4o,A_career_family,api,family,Y,-0.030222833156585693
openai-gpt4o,A_career_family,api,grandchild,Y,-0.031751662492752075
openai-gpt4o,A_career_family,api,hearth,Y,-0.02084478735923767
openai-gpt4o,A_career_family,api,home,Y,-0.0022782981395721436
openai-gpt4o,A_career_family,api,household,Y,-0.02585846185684204
openai-gpt4o,A_career_family,api,kitchen,Y,-0.027868881821632385
openai-gpt4o,A_career_family,api,marriage,Y,-0.03476262092590332
openai-gpt4o,A_career_family,api,parent,Y,-0.008498966693878174
openai-gpt4o,A_career_family,api,relative,Y,-0.016497135162353516
openai-gpt4o,A_career_family,api,sibling,Y,-0.028426557779312134
openai-gpt4o,A_career_family,api,tradition,Y,-0.011184677481651306
openai-gpt4o,A_career_family,api,wedding,Y,-0.03771635890007019
openai-gpt4o,B_agentic_communal,api,accomplish,X,0.0007760971784591675
openai-gpt4o,B_agentic_communal,api,ambitious,X,0.011186867952346802
openai-gpt4o,B_agentic_communal,api,assertive,X,0.02097521722316742
openai-gpt4o,B_agentic_communal,api,bold,X,0.033493608236312866
openai-gpt4o,B_agentic_communal,api,brave,X,0.011411100625991821
openai-gpt4o,B_agentic_communal,api,competitive,X,0.006731152534484863
openai-gpt4o,B_agentic_communal,api,confident,X,0.018093377351760864
openai-gpt4o,B_agentic_communal,api,courageous,X,0.007261678576469421
openai-gpt4o,B_agentic_communal,api,decisive,X,0.006103187799453735
openai-gpt4o,B_agentic_communal,api,determined,X,-0.00015428662300109863
openai-gpt4o,B_agentic_communal,api,dominant,X,0.0054600536823272705
openai-gpt4o,B_agentic_communal,api,driven,X,0.008161470293998718
openai-gpt4o,B_agentic_communal,api,fearless,X,-0.00371590256690979
openai-gpt4o,B_agentic_communal,api,heroic,X,0.003519773483276367
openai-gpt4o,B_agentic_communal,api,independent,X,-0.006472662091255188
openai-gpt4o,B_agentic_communal,api,innovative,X,0.0173129141330719
openai-gpt4o,B_agentic_communal,api,leader,X,0.030800729990005493
openai-gpt4o,B_agentic_communal,api,logical,X,0.029110580682754517
openai-gpt4o,B_agentic_communal,api,pioneer,X,0.007478952407836914
openai-gpt4o,B_agentic_communal,api,powerful,X,0.014121383428573608
